UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.111_N.49_111/49/POSTAL VOTE_1,SELANGOR,POSTAL VOTE,P.111,KOTA RAJA,N.49,SUNGAI KANDIS,111/49/POSTAL VOTE,UNDI POS,UNDI POS,1,59,UMNO,DATO' LOKMAN NOOR BIN ADAM,MALE,45,15,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,MALE,48,18,INDEPENDENT - PEN,K. MURTHY PJK,MALE,60,0,33,5,21
P.111_N.49_111/49/01_1,SELANGOR,ORDINARY VOTE,P.111,KOTA RAJA,N.49,SUNGAI KANDIS,111/49/01,SEKSYEN 34 SHAH ALAM,DEWAN PUSAT LATIHAN TEKNOLOGI TINGGI (ADTEC) SEKSYEN 34 SHAH ALAM,1,194,UMNO,DATO' LOKMAN NOOR BIN ADAM,MALE,45,81,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,MALE,48,111,INDEPENDENT - PEN,K. MURTHY PJK,MALE,60,1,193,1,0
P.111_N.49_111/49/01_2,SELANGOR,ORDINARY VOTE,P.111,KOTA RAJA,N.49,SUNGAI KANDIS,111/49/01,SEKSYEN 34 SHAH ALAM,DEWAN PUSAT LATIHAN TEKNOLOGI TINGGI (ADTEC) SEKSYEN 34 SHAH ALAM,2,271,UMNO,DATO' LOKMAN NOOR BIN ADAM,MALE,45,119,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,MALE,48,148,INDEPENDENT - PEN,K. MURTHY PJK,MALE,60,1,268,3,0
P.111_N.49_111/49/01_3,SELANGOR,ORDINARY VOTE,P.111,KOTA RAJA,N.49,SUNGAI KANDIS,111/49/01,SEKSYEN 34 SHAH ALAM,DEWAN PUSAT LATIHAN TEKNOLOGI TINGGI (ADTEC) SEKSYEN 34 SHAH ALAM,3,190,UMNO,DATO' LOKMAN NOOR BIN ADAM,MALE,45,46,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,MALE,48,142,INDEPENDENT - PEN,K. MURTHY PJK,MALE,60,2,190,0,0
P.111_N.49_111/49/02_1,SELANGOR,ORDINARY VOTE,P.111,KOTA RAJA,N.49,SUNGAI KANDIS,111/49/02,SUNGAI KANDIS,SEKOLAH RENDAH AGAMA SUNGAI KANDIS KLANG,1,257,UMNO,DATO' LOKMAN NOOR BIN ADAM,MALE,45,124,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,MALE,48,126,INDEPENDENT - PEN,K. MURTHY PJK,MALE,60,0,250,7,0
P.111_N.49_111/49/02_2,SELANGOR,ORDINARY VOTE,P.111,KOTA RAJA,N.49,SUNGAI KANDIS,111/49/02,SUNGAI KANDIS,SEKOLAH RENDAH AGAMA SUNGAI KANDIS KLANG,2,244,UMNO,DATO' LOKMAN NOOR BIN ADAM,MALE,45,127,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,MALE,48,111,INDEPENDENT - PEN,K. MURTHY PJK,MALE,60,0,238,6,0
P.111_N.49_111/49/02_3,SELANGOR,ORDINARY VOTE,P.111,KOTA RAJA,N.49,SUNGAI KANDIS,111/49/02,SUNGAI KANDIS,SEKOLAH RENDAH AGAMA SUNGAI KANDIS KLANG,3,301,UMNO,DATO' LOKMAN NOOR BIN ADAM,MALE,45,133,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,MALE,48,163,INDEPENDENT - PEN,K. MURTHY PJK,MALE,60,2,298,3,0
P.111_N.49_111/49/02_4,SELANGOR,ORDINARY VOTE,P.111,KOTA RAJA,N.49,SUNGAI KANDIS,111/49/02,SUNGAI KANDIS,SEKOLAH RENDAH AGAMA SUNGAI KANDIS KLANG,4,270,UMNO,DATO' LOKMAN NOOR BIN ADAM,MALE,45,113,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,MALE,48,154,INDEPENDENT - PEN,K. MURTHY PJK,MALE,60,2,269,1,0
P.111_N.49_111/49/02_5,SELANGOR,ORDINARY VOTE,P.111,KOTA RAJA,N.49,SUNGAI KANDIS,111/49/02,SUNGAI KANDIS,SEKOLAH RENDAH AGAMA SUNGAI KANDIS KLANG,5,253,UMNO,DATO' LOKMAN NOOR BIN ADAM,MALE,45,137,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,MALE,48,114,INDEPENDENT - PEN,K. MURTHY PJK,MALE,60,0,251,2,0
P.111_N.49_111/49/03_1,SELANGOR,ORDINARY VOTE,P.111,KOTA RAJA,N.49,SUNGAI KANDIS,111/49/03,TELUK MENEGUN,SEKOLAH KEBANGSAAN TELOK MENEGON KLANG,1,175,UMNO,DATO' LOKMAN NOOR BIN ADAM,MALE,45,71,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,MALE,48,99,INDEPENDENT - PEN,K. MURTHY PJK,MALE,60,2,172,3,0
