UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,match valid,match total
P.105_N.32_105/32/POSTAL VOTE_1,SELANGOR,POSTAL VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/POSTAL VOTE,UNDI POS,UNDI POS,1,79,PKR,HALIMEY BIN ABU BAKAR,MALE,46,17,PAS,DR HALIMAH ALI,FEMALE,58,34,51,2,26,1,1
P.105_N.32_105/32/00_1a,SELANGOR,EARLY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/00,UNDI AWAL,"KOMPLEKS SMS PDRM, SHAH ALAM",1,131,PKR,HALIMEY BIN ABU BAKAR,MALE,46,57,PAS,DR HALIMAH ALI,FEMALE,58,73,130,1,0,1,1
P.105_N.32_105/32/00_1b,SELANGOR,EARLY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/00,UNDI AWAL,DEWAN SERBAGUNA ABABIL PANGKALAN UDARA SUBANG,1,401,PKR,HALIMEY BIN ABU BAKAR,MALE,46,205,PAS,DR HALIMAH ALI,FEMALE,58,194,399,1,1,1,1
P.105_N.32_105/32/00_2b,SELANGOR,EARLY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/00,UNDI AWAL,DEWAN SERBAGUNA ABABIL PANGKALAN UDARA SUBANG,2,441,PKR,HALIMEY BIN ABU BAKAR,MALE,46,148,PAS,DR HALIMAH ALI,FEMALE,58,293,441,0,0,1,1
P.105_N.32_105/32/00_3b,SELANGOR,EARLY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/00,UNDI AWAL,DEWAN SERBAGUNA ABABIL PANGKALAN UDARA SUBANG,3,446,PKR,HALIMEY BIN ABU BAKAR,MALE,46,132,PAS,DR HALIMAH ALI,FEMALE,58,311,443,3,0,1,1
P.105_N.32_105/32/00_4b,SELANGOR,EARLY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/00,UNDI AWAL,DEWAN SERBAGUNA ABABIL PANGKALAN UDARA SUBANG,4,412,PKR,HALIMEY BIN ABU BAKAR,MALE,46,179,PAS,DR HALIMAH ALI,FEMALE,58,229,408,4,0,1,1
P.105_N.32_105/32/00_5b,SELANGOR,EARLY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/00,UNDI AWAL,DEWAN SERBAGUNA ABABIL PANGKALAN UDARA SUBANG,5,318,PKR,HALIMEY BIN ABU BAKAR,MALE,46,143,PAS,DR HALIMAH ALI,FEMALE,58,174,317,1,0,1,1
P.105_N.32_105/32/01_1,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/01,GLENMARIE,"POLITEKNIK SULTAN SALAHUDDIN ABDUL AZIZ SHAH, SHAH ALAM",1,99,PKR,HALIMEY BIN ABU BAKAR,MALE,46,70,PAS,DR HALIMAH ALI,FEMALE,58,29,99,0,0,1,1
P.105_N.32_105/32/01_2,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/01,GLENMARIE,"POLITEKNIK SULTAN SALAHUDDIN ABDUL AZIZ SHAH, SHAH ALAM",2,177,PKR,HALIMEY BIN ABU BAKAR,MALE,46,106,PAS,DR HALIMAH ALI,FEMALE,58,71,177,0,0,1,1
P.105_N.32_105/32/01_3,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/01,GLENMARIE,"POLITEKNIK SULTAN SALAHUDDIN ABDUL AZIZ SHAH, SHAH ALAM",3,159,PKR,HALIMEY BIN ABU BAKAR,MALE,46,90,PAS,DR HALIMAH ALI,FEMALE,58,68,158,1,0,1,1
P.105_N.32_105/32/02_1,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/02,SS 6,SEKOLAH KEBANGSAAN KELANA JAYA (2) JALAN SS 5/2 PETALING JAYA,1,164,PKR,HALIMEY BIN ABU BAKAR,MALE,46,109,PAS,DR HALIMAH ALI,FEMALE,58,52,161,3,0,1,1
P.105_N.32_105/32/02_2,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/02,SS 6,SEKOLAH KEBANGSAAN KELANA JAYA (2) JALAN SS 5/2 PETALING JAYA,2,121,PKR,HALIMEY BIN ABU BAKAR,MALE,46,70,PAS,DR HALIMAH ALI,FEMALE,58,51,121,0,0,1,1
P.105_N.32_105/32/02_3,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/02,SS 6,SEKOLAH KEBANGSAAN KELANA JAYA (2) JALAN SS 5/2 PETALING JAYA,3,161,PKR,HALIMEY BIN ABU BAKAR,MALE,46,61,PAS,DR HALIMAH ALI,FEMALE,58,98,159,2,0,1,1
P.105_N.32_105/32/02_4,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/02,SS 6,SEKOLAH KEBANGSAAN KELANA JAYA (2) JALAN SS 5/2 PETALING JAYA,4,188,PKR,HALIMEY BIN ABU BAKAR,MALE,46,49,PAS,DR HALIMAH ALI,FEMALE,58,139,188,0,0,1,1
P.105_N.32_105/32/03_1,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/03,SS 5D,SEKOLAH KEBANGSAAN KELANA JAYA (1) JALAN SS 5/2 PETALING JAYA,1,207,PKR,HALIMEY BIN ABU BAKAR,MALE,46,107,PAS,DR HALIMAH ALI,FEMALE,58,99,206,1,0,1,1
