UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.102_N.27_102/27/POSTAL VOTE_1,SELANGOR,POSTAL VOTE,P.102,BANGI,N.27,BALAKONG,102/27/POSTAL VOTE,UNDI POS,UNDI POS,1,40,MCA,TAN CHEE TEONG,MALE,40,4,DAP,WONG SIEW KI,FEMALE,32,12,16,0,24
P.102_N.27_102/27/00_1,SELANGOR,EARLY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/00,UNDI AWAL,RUANG LEGAR KUARTERS BALAI POLIS SERI KEMBANGAN,1,28,MCA,TAN CHEE TEONG,MALE,40,2,DAP,WONG SIEW KI,FEMALE,32,25,27,1,0
P.102_N.27_102/27/01_1,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/01,KAMPUNG BAHARU BALAKONG,SEKOLAH JENUS KEBANGSAAN (CINA) BALAKONG,1,212,MCA,TAN CHEE TEONG,MALE,40,45,DAP,WONG SIEW KI,FEMALE,32,159,204,8,0
P.102_N.27_102/27/01_2,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/01,KAMPUNG BAHARU BALAKONG,SEKOLAH JENUS KEBANGSAAN (CINA) BALAKONG,2,247,MCA,TAN CHEE TEONG,MALE,40,37,DAP,WONG SIEW KI,FEMALE,32,202,239,8,0
P.102_N.27_102/27/01_3,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/01,KAMPUNG BAHARU BALAKONG,SEKOLAH JENUS KEBANGSAAN (CINA) BALAKONG,3,366,MCA,TAN CHEE TEONG,MALE,40,51,DAP,WONG SIEW KI,FEMALE,32,313,364,2,0
P.102_N.27_102/27/01_4,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/01,KAMPUNG BAHARU BALAKONG,SEKOLAH JENUS KEBANGSAAN (CINA) BALAKONG,4,354,MCA,TAN CHEE TEONG,MALE,40,22,DAP,WONG SIEW KI,FEMALE,32,332,354,0,0
P.102_N.27_102/27/02_1,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/02,BANDAR DAMAI PERDANA,SEKOLAH JENIS KEBANGSAAN (CINA) CONNOUGHT 2 BANDAR DAMAI PERDANA,1,232,MCA,TAN CHEE TEONG,MALE,40,24,DAP,WONG SIEW KI,FEMALE,32,208,232,0,0
P.102_N.27_102/27/02_2,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/02,BANDAR DAMAI PERDANA,SEKOLAH JENIS KEBANGSAAN (CINA) CONNOUGHT 2 BANDAR DAMAI PERDANA,2,245,MCA,TAN CHEE TEONG,MALE,40,16,DAP,WONG SIEW KI,FEMALE,32,229,245,0,0
P.102_N.27_102/27/02_3,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/02,BANDAR DAMAI PERDANA,SEKOLAH JENIS KEBANGSAAN (CINA) CONNOUGHT 2 BANDAR DAMAI PERDANA,3,297,MCA,TAN CHEE TEONG,MALE,40,25,DAP,WONG SIEW KI,FEMALE,32,271,296,1,0
P.102_N.27_102/27/02_4,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/02,BANDAR DAMAI PERDANA,SEKOLAH JENIS KEBANGSAAN (CINA) CONNOUGHT 2 BANDAR DAMAI PERDANA,4,259,MCA,TAN CHEE TEONG,MALE,40,21,DAP,WONG SIEW KI,FEMALE,32,237,258,1,0
