UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,BUMIPUTERA SABAH,BUMIPUTERA SARAWAK,CINA,INDIA,LAIN LAIN,MELAYU,ORANG ASLI,TOTAL ELECTORS,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 DAN KE ATAS,MALE ELECTORS,FEMALE ELECTORS,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,GS,GS CANDIDATE,GS CANDIDATE SEX,GS CANDIDATE AGE,GS VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE SEX,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 VOTE,INDEPENDENT 4,INDEPENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE SEX,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 VOTE,INDEPENDENT 5,INDEPENDENT 5 CANDIDATE,INDEPENDENT 5 CANDIDATE SEX,INDEPENDENT 5 CANDIDATE AGE,INDEPENDENT 5 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,VALID VOTE CHECK,TOTAL BALLOT CHECK
UNDI POS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.132_P.132/POSTAL VOTE_UNDI POS_1,NEGERI SEMBILAN,POSTAL VOTE,P.132,PORT DICKSON,P.132/POSTAL VOTE,POSTAL VOTE,UNDI POS,UNDI POS,UNDI POS,,,,,,,,,,,,,,,,,,,1,262,,,,,,PKR,ANWAR IBRAHIM,MALE,71,122,PAS,LT KOL (B) HAJI NAZARI,MALE,57,51,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,31,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,205,15,42,1,1
,,,,,,,,,PENGUNDI TIDAK HADIR,,1,4,2,,9,,16,5,5,3,2,1,,,,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNDI AWAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.132_N.29_132/29/00_1,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/00,UNDI AWAL,"KHEMAH A, IPD PORT DICKSON",1,4,,1,,28,,34,3,16,5,8,2,,,,33,1,1,30,,,,,,PKR,ANWAR IBRAHIM,MALE,71,22,PAS,LT KOL (B) HAJI NAZARI,MALE,57,5,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,2,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,29,1,0,1,1
P.132_N.30_132/30/00_1,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/00,UNDI AWAL,"KHEMAH B, IPD PORT DICKSON ",2,2,,1,,17,,22,7,9,2,3,1,,,,21,1,1,19,,,,,,PKR,ANWAR IBRAHIM,MALE,71,8,PAS,LT KOL (B) HAJI NAZARI,MALE,57,10,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,1,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,19,0,0,1,1
P.132_N.31_132/31/00_1a,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/00,UNDI AWAL,"BILIK SERI PINANG, BLOK MAWAR IPD PORT DICKSON ",11,8,,4,,91,,114,42,63,1,8,,,,,111,3,1,65,,,,,,PKR,ANWAR IBRAHIM,MALE,71,42,PAS,LT KOL (B) HAJI NAZARI,MALE,57,22,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,0,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,64,1,0,1,1
P.132_N.31_132/31/00_1b,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/00,UNDI AWAL,"HANGAR PUSASDA, PORT DICKSON",70,110,2,10,3,403,1,599,215,256,113,14,1,,,,567,32,1,366,,,,,,PKR,ANWAR IBRAHIM,MALE,71,210,PAS,LT KOL (B) HAJI NAZARI,MALE,57,136,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,6,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,354,12,0,1,1
P.132_N.31_132/31/00_2b,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/00,UNDI AWAL,"HANGAR PUSASDA, PORT DICKSON",59,106,3,11,4,415,1,599,246,242,90,21,,,,,567,32,2,361,,,,,,PKR,ANWAR IBRAHIM,MALE,71,210,PAS,LT KOL (B) HAJI NAZARI,MALE,57,120,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,3,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,9,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,342,19,0,1,1
P.132_N.31_132/31/00_3b,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/00,UNDI AWAL,"HANGAR PUSASDA, PORT DICKSON",28,22,,2,1,546,,599,252,296,47,4,,,,,599,,3,390,,,,,,PKR,ANWAR IBRAHIM,MALE,71,210,PAS,LT KOL (B) HAJI NAZARI,MALE,57,161,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,4,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,4,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,379,11,0,1,1
