Created on,31/8/2024
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Source,"Election Commission of Malaysia (https://www.spr.gov.my/sites/default/files/Paparan%20PD%20Portal%20Master_v2.pdf) (SPR), Tindak Malaysia (2024), Attorney General Chambers, Anwar Ibrahim Profail (https://www.anwaribrahim.com/ms/profile/), For other Candidates (https://ms-my.facebook.com/TeamIstiqomah/photos/lt-koltudm-b-haji-mohd-nazari-bin-mokhtartarikh-lahir-30-november-1961umur-57-ta/1675412929237403/, https://www.bharian.com.my/berita/politik/2018/09/479977/lau-seck-yan-mula-berkempen-di-port-dickson, https://klse.i3investor.com/web/companyinfo/detail/boardMember?id=B_25149_1495302173, https://www.malaysiakini.com/news/444734, https://www.freemalaysiatoday.com/category/microsite/2022/11/16/after-losing-in-pd-independents-coach-tries-luck-up-north-4-years-later/, https://www.utusanborneo.com.my/2018/09/30/saiful-bukhari-jumpa-dan-bersalaman-dengan-anwar)"
Disclaimers,This is the official result of the non-gazetted SPR. Results match with Government Gazette P.U. (B) 578. TindakMalaysia Network Services PLT is not responsible for any errors or omissions arising from the original data or its derivatives
Attrbute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,"Composite between Parliamentary Code,DUN Code, Polling District Code and Voting Channel Number"
STATE,State Name
BALLOT TYPE,"Ballot Type (Postal, Early or Ordinary Vote)"
PARLIAMENTARY CONSTITUENCY CODE,Parliamentary Code (2018 - present at the Created Date)
PARLIAMENTARY CONSTITUENCY NAME,Parliamentary Name (2018 - present at the Created Date)
STATE CONSTITUENCY CODE,State Constituency (DUN) Code (2018 - present at the Created Date)
STATE CONSTITUENCY NAME,State Constituency (DUN) Name (2018 - present at the created Date)
POLLING DISTRICT CODE,Polling District Code (2018 - present at the Created Date)
POLLING DISTRICT NAME,Polling District Name (2018 - present at the Created Date)
POLLING CENTRE,Polling Centre for Port Dickson By-Election 2018
VOTING CHANNEL NUMBER,Voting Channel Number (Nombor Saluran) for Port Dickson By-Election 2018
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll (as in A in all Form 14 + A in Form 15)
PH,Pakatan Harapan (PH) Component Party
PH CANDIDATE,Pakatan Harapan Candidate Name as per the Government Gazette (Form 8)
PH CANDIDATE SEX,Male/Female Classification
PH CANDIDATE AGE,Age of Pakatan Harapan Candidate
PH VOTE,Pakatan Harapan Valid Vote for the Candidate
PAS,Parti Islam Se-Malaysia (PAS)
PAS CANDIDATE,Parti Islam Se-Malaysia Candidate Name as per the Government Gazette (Form 8)
PAS CANDIDATE SEX,Male/Female Classification
PAS CANDIDATE AGE,Age of Parti Islam Se-Malaysia Candidate
PAS VOTE,Parti Islam Se-Malaysia Valid Vote for the Candidate
INDEPENDENT (1),Independent with Symbol
INDEPENDENT (1) CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (2),Independent with Symbol
INDEPENDENT (2) CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (3),Independent with Symbol
INDEPENDENT (3) CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT (3) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (3) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (3) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (4),Independent with Symbol
INDEPENDENT (4) CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT (4) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (4) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (4) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (5),Independent with Symbol
INDEPENDENT (5) CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT (5) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (5) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (5) VOTE,Independent Valid Vote for the Candidate
TOTAL VALID VOTES,Total number of votes by electors
TOTAL REJECTED VOTES,Total number of rejected ballot papers (as in C in all Form 14 + C in Form 15)
TOTAL UNRETURNED BALLOTS,Total number of ballot papers issued but not put in the ballot box (as in D in all Form 14) and not returned (as in D in Form 15) (B-C-D)
