UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,INDEPENDENT (1) ,INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.101_N.24_101/24/UNDI POS_1,SELANGOR,POSTAL VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/UNDI POS,UNDI POS,UNDI POS,1,234,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,53,PPBM,AIMAN ZAINALI,MALE,33,28,PSM,NIK AZIZ,MALE,25,1,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,2,84,109,41
P.101_N.24_101/24/00_1a,SELANGOR,EARLY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/00,UNDI AWAL,DISCRESS ROOM IPPD KAJANG,1,92,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,23,PPBM,AIMAN ZAINALI,MALE,33,67,PSM,NIK AZIZ,MALE,25,0,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,1,91,1,0
P.101_N.24_101/24/00_1b,SELANGOR,EARLY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/00,UNDI AWAL,DEWAN SERBAGUNA BN 4 PGA SEMENYIH,1,301,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,218,PPBM,AIMAN ZAINALI,MALE,33,73,PSM,NIK AZIZ,MALE,25,1,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,5,297,4,0
P.101_N.24_101/24/00_2b,SELANGOR,EARLY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/00,UNDI AWAL,DEWAN SERBAGUNA BN 4 PGA SEMENYIH,2,289,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,224,PPBM,AIMAN ZAINALI,MALE,33,59,PSM,NIK AZIZ,MALE,25,1,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,4,288,1,0
P.101_N.24_101/24/01_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/01,SEMENYIH BARAT,SEKOLAH KEBANGSAAN BANDAR SUNWAY SEMENYIH,1,228,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,71,PPBM,AIMAN ZAINALI,MALE,33,131,PSM,NIK AZIZ,MALE,25,7,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,6,215,13,0
P.101_N.24_101/24/01_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/01,SEMENYIH BARAT,SEKOLAH KEBANGSAAN BANDAR SUNWAY SEMENYIH,2,272,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,123,PPBM,AIMAN ZAINALI,MALE,33,135,PSM,NIK AZIZ,MALE,25,4,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,6,268,4,0
P.101_N.24_101/24/01_3,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/01,SEMENYIH BARAT,SEKOLAH KEBANGSAAN BANDAR SUNWAY SEMENYIH,3,417,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,158,PPBM,AIMAN ZAINALI,MALE,33,234,PSM,NIK AZIZ,MALE,25,11,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,9,412,5,0
P.101_N.24_101/24/01_4,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/01,SEMENYIH BARAT,SEKOLAH KEBANGSAAN BANDAR SUNWAY SEMENYIH,4,406,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,144,PPBM,AIMAN ZAINALI,MALE,33,247,PSM,NIK AZIZ,MALE,25,5,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,6,402,4,0
P.101_N.24_101/24/01_5,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/01,SEMENYIH BARAT,SEKOLAH KEBANGSAAN BANDAR SUNWAY SEMENYIH,5,389,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,131,PPBM,AIMAN ZAINALI,MALE,33,230,PSM,NIK AZIZ,MALE,25,10,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,13,384,5,0
P.101_N.24_101/24/01_6,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/01,SEMENYIH BARAT,SEKOLAH KEBANGSAAN BANDAR SUNWAY SEMENYIH,6,371,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,124,PPBM,AIMAN ZAINALI,MALE,33,233,PSM,NIK AZIZ,MALE,25,4,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,8,369,2,0
P.101_N.24_101/24/01_7,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/01,SEMENYIH BARAT,SEKOLAH KEBANGSAAN BANDAR SUNWAY SEMENYIH,7,314,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,112,PPBM,AIMAN ZAINALI,MALE,33,183,PSM,NIK AZIZ,MALE,25,4,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,10,309,5,0
P.101_N.24_101/24/01_8,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/01,SEMENYIH BARAT,SEKOLAH KEBANGSAAN BANDAR SUNWAY SEMENYIH,8,330,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,118,PPBM,AIMAN ZAINALI,MALE,33,189,PSM,NIK AZIZ,MALE,25,4,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,16,327,3,0
P.101_N.24_101/24/01_9,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/01,SEMENYIH BARAT,SEKOLAH KEBANGSAAN BANDAR SUNWAY SEMENYIH,9,331,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,129,PPBM,AIMAN ZAINALI,MALE,33,184,PSM,NIK AZIZ,MALE,25,11,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,7,331,0,0
P.101_N.24_101/24/02_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/02,HULU SEMENYIH,SEKOLAH KEBANGSAAN ULU SEMENYIH,1,283,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,185,PPBM,AIMAN ZAINALI,MALE,33,75,PSM,NIK AZIZ,MALE,25,5,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,1,266,17,0
P.101_N.24_101/24/02_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/02,HULU SEMENYIH,SEKOLAH KEBANGSAAN ULU SEMENYIH,2,281,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,180,PPBM,AIMAN ZAINALI,MALE,33,93,PSM,NIK AZIZ,MALE,25,5,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,0,278,3,0
P.101_N.24_101/24/02_3,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/02,HULU SEMENYIH,SEKOLAH KEBANGSAAN ULU SEMENYIH,3,405,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,250,PPBM,AIMAN ZAINALI,MALE,33,137,PSM,NIK AZIZ,MALE,25,5,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,3,395,10,0
