UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,INDEPENDENT (1) ,INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2) ,INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.131_N.27_131/27/UNDI POS_1,NEGERI SEMBILAN,POSTAL VOTE,P.131,REMBAU,N.27,RANTAU,131/27/UNDI POS,UNDI POS,UNDI POS,1,23,UMNO,TOK MAT,MALE,63,18,PKR,DR. STRERAM SINNASAMY,MALE,60,2,INDEPENDENT - TREE,MALAR RAJARAM,FEMALE,51,0,INDEPENDENT - PEN,HJ MOHD NOR,MALE,67,0,20,1,2
P.131_N.27_131/27/00_1a,NEGERI SEMBILAN,EARLY VOTE,P.131,REMBAU,N.27,RANTAU,131/27/00,UNDI AWAL,BALAI POLIS RANTAU,1,34,UMNO,TOK MAT,MALE,63,33,PKR,DR. STRERAM SINNASAMY,MALE,60,1,INDEPENDENT - TREE,MALAR RAJARAM,FEMALE,51,0,INDEPENDENT - PEN,HJ MOHD NOR,MALE,67,0,34,0,0
P.131_N.27_131/27/00_1b,NEGERI SEMBILAN,EARLY VOTE,P.131,REMBAU,N.27,RANTAU,131/27/00,UNDI AWAL,PANGKALAN UDARA SEDAYAN,1,70,UMNO,TOK MAT,MALE,63,62,PKR,DR. STRERAM SINNASAMY,MALE,60,7,INDEPENDENT - TREE,MALAR RAJARAM,FEMALE,51,0,INDEPENDENT - PEN,HJ MOHD NOR,MALE,67,0,69,1,0
P.131_N.27_131/27/01_1,NEGERI SEMBILAN,ORDINARY VOTE,P.131,REMBAU,N.27,RANTAU,131/27/01,KAMPONG SENDAYAN,SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU SRI SENDAYAN,1,283,UMNO,TOK MAT,MALE,63,229,PKR,DR. STRERAM SINNASAMY,MALE,60,51,INDEPENDENT - TREE,MALAR RAJARAM,FEMALE,51,2,INDEPENDENT - PEN,HJ MOHD NOR,MALE,67,0,282,1,0
P.131_N.27_131/27/01_2,NEGERI SEMBILAN,ORDINARY VOTE,P.131,REMBAU,N.27,RANTAU,131/27/01,KAMPONG SENDAYAN,SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU SRI SENDAYAN,2,279,UMNO,TOK MAT,MALE,63,226,PKR,DR. STRERAM SINNASAMY,MALE,60,50,INDEPENDENT - TREE,MALAR RAJARAM,FEMALE,51,1,INDEPENDENT - PEN,HJ MOHD NOR,MALE,67,0,277,2,0
P.131_N.27_131/27/02_1,NEGERI SEMBILAN,ORDINARY VOTE,P.131,REMBAU,N.27,RANTAU,131/27/02,SENDAYAN,SEKOLAH JENIS KEBANGSAAN (TAMIL) BANDAR SRI SENDAYAN,1,269,UMNO,TOK MAT,MALE,63,190,PKR,DR. STRERAM SINNASAMY,MALE,60,67,INDEPENDENT - TREE,MALAR RAJARAM,FEMALE,51,0,INDEPENDENT - PEN,HJ MOHD NOR,MALE,67,3,260,9,0
P.131_N.27_131/27/02_2,NEGERI SEMBILAN,ORDINARY VOTE,P.131,REMBAU,N.27,RANTAU,131/27/02,SENDAYAN,SEKOLAH JENIS KEBANGSAAN (TAMIL) BANDAR SRI SENDAYAN,2,300,UMNO,TOK MAT,MALE,63,214,PKR,DR. STRERAM SINNASAMY,MALE,60,77,INDEPENDENT - TREE,MALAR RAJARAM,FEMALE,51,1,INDEPENDENT - PEN,HJ MOHD NOR,MALE,67,0,292,8,0
P.131_N.27_131/27/02_3,NEGERI SEMBILAN,ORDINARY VOTE,P.131,REMBAU,N.27,RANTAU,131/27/02,SENDAYAN,SEKOLAH JENIS KEBANGSAAN (TAMIL) BANDAR SRI SENDAYAN,3,425,UMNO,TOK MAT,MALE,63,318,PKR,DR. STRERAM SINNASAMY,MALE,60,92,INDEPENDENT - TREE,MALAR RAJARAM,FEMALE,51,1,INDEPENDENT - PEN,HJ MOHD NOR,MALE,67,6,417,8,0
P.131_N.27_131/27/02_4,NEGERI SEMBILAN,ORDINARY VOTE,P.131,REMBAU,N.27,RANTAU,131/27/02,SENDAYAN,SEKOLAH JENIS KEBANGSAAN (TAMIL) BANDAR SRI SENDAYAN,4,418,UMNO,TOK MAT,MALE,63,337,PKR,DR. STRERAM SINNASAMY,MALE,60,78,INDEPENDENT - TREE,MALAR RAJARAM,FEMALE,51,2,INDEPENDENT - PEN,HJ MOHD NOR,MALE,67,0,417,1,0
P.131_N.27_131/27/02_5,NEGERI SEMBILAN,ORDINARY VOTE,P.131,REMBAU,N.27,RANTAU,131/27/02,SENDAYAN,SEKOLAH JENIS KEBANGSAAN (TAMIL) BANDAR SRI SENDAYAN,5,393,UMNO,TOK MAT,MALE,63,311,PKR,DR. STRERAM SINNASAMY,MALE,60,79,INDEPENDENT - TREE,MALAR RAJARAM,FEMALE,51,1,INDEPENDENT - PEN,HJ MOHD NOR,MALE,67,1,392,1,0
