STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),ORANG ASLI (%),OTHERS (%),ELECTORS - ORDINARY VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN-RURAL CLASSIFICATION (2019),OKU VOTERS (2019)
JOHOR,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/01,PARIT KUDUS,1446,96.2,3.67,0.14,0,0,0,0,100,0,0,0,12.72,20.19,17.91,23.79,13.69,7.19,4.15,0.35,48.06,51.94,SEMI URBAN,31
JOHOR,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/02,TANJONG AYER HITAM,992,87.3,12.6,0.1,0,0,0,0,100,0,0,0,13.81,19.46,22.58,20.26,12.2,7.16,3.73,0.81,52.32,47.68,SEMI URBAN,18
JOHOR,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/03,LADANG SOUTH MALAYA,1548,79.97,19.83,0.19,0,0,0,0,99.94,0.06,0,0,14.34,21.38,19.51,19.12,13.18,9.04,2.97,0.45,50.65,49.35,SEMI URBAN,27
JOHOR,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/04,MELAYU RAYA,1506,99.73,0.27,0,0,0,0,0,99.87,0.13,0,0,18.39,27.89,20.72,14.14,10.23,5.25,3.19,0.2,50,50,RURAL,39
JOHOR,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/05,KAMPONG LUBOK SAWAH,1341,98.43,1.49,0.07,0,0,0,0,100,0,0,0,14.02,25.35,17.82,17.6,14.47,8.05,2.46,0.22,49.89,50.11,RURAL,23
JOHOR,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/06,TENGGAYON,3592,70.57,28.98,0.42,0,0.03,0,0,100,0,0,0,19.24,27.48,22.47,15.48,8.55,4.37,2.17,0.25,48.89,51.11,RURAL,61
JOHOR,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/07,PENGKALAN RAJA PONTIAN,2026,87.91,11.45,0.64,0,0,0,0,100,0,0,0,14.31,27.99,20.19,16.58,11.99,6.27,2.27,0.39,47.78,52.22,SEMI URBAN,45
JOHOR,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/08,BANDAR PEKAN NENAS BARAT,2248,12.9,86.7,0.36,0,0.04,0,0,99.96,0.04,0,0,3.2,13.08,29.4,21.75,16.86,10.77,4.23,0.71,52.71,47.29,SEMI URBAN,41
JOHOR,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/09,BANDAR PEKAN NENAS TIMOR,3186,15.98,82.17,1.79,0,0.06,0,0,100,0,0,0,12.62,15.82,21.34,24.58,13.47,8.57,3.01,0.6,50.82,49.18,SEMI URBAN,61
JOHOR,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/10,BANDAR PEKAN NENAS TENGAH,3957,24.49,73.69,1.77,0,0.05,0,0,100,0,0,0,13.62,24.89,29.54,14.25,10.82,4.85,1.64,0.38,50.24,49.76,SEMI URBAN,74
JOHOR,P.165,TANJUNG PIAI,N.56,PEKAN NANAS,165/55/11,BANDAR PEKAN NENAS SELATAN,4579,40.79,57.39,1.81,0,0,0,0,99.52,0.02,0.46,0,13.04,23.32,19.26,19.31,14.09,8.12,2.29,0.57,50.64,49.36,SEMI URBAN,92
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/01,LADANG SUNGAI BURONG,438,86.53,13.47,0,0,0,0,0,100,0,0,0,13.24,18.49,19.86,20.09,13.01,9.59,4.57,1.14,48.17,51.83,RURAL,10
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/02,JALAN RIMBA TERJUN,1858,17.65,80.36,1.88,0,0.05,0,0.05,99.95,0.05,0,0,14.8,33.8,23.74,11.57,8.77,5.33,1.61,0.38,50.32,49.68,SEMI URBAN,27
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/03,KAMPONG DUKU,4634,37.22,61.46,1.1,0,0.19,0,0.02,95.06,0.02,4.92,0,12.32,22.23,14.67,20.37,18.54,8.37,3,0.5,52.72,47.28,SEMI URBAN,68
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/04,KAMPONG RIMBA TERJUN,2232,71.19,28.09,0.67,0,0.04,0,0,100,0,0,0,10.39,23.16,20.97,19.44,13.98,7.57,3.67,0.81,48.88,51.12,RURAL,48
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/05,PARIT HJ. ISMAIL,1273,57.34,42.42,0.16,0,0,0,0.08,100,0,0,0,12.49,12.65,20.74,26.55,15.32,7.86,3.77,0.63,50.2,49.8,RURAL,29
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/06,RAMBAH,1884,45.44,50.85,3.72,0,0,0,0,100,0,0,0,9.39,18.42,20.38,21.28,17.04,8.86,3.72,0.9,50.53,49.47,RURAL,24
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/07,PARIT RAMBAI,967,89.66,10.03,0.31,0,0,0,0,100,0,0,0,14.89,25.23,19.44,20.68,11.17,6.1,2.07,0.41,47.57,52.43,RURAL,15
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/08,PERADIN,687,93.3,6.55,0.15,0,0,0,0,100,0,0,0,11.94,21.98,21.25,19.36,12.37,8.73,3.64,0.73,50.95,49.05,RURAL,17
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/09,TELOK KERANG,1942,87.9,11.95,0.15,0,0,0,0,100,0,0,0,12.26,22.5,20.91,18.9,13.29,7.62,3.6,0.93,51.91,48.09,RURAL,38
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/10,PENEROK,2124,67.04,31.97,0.99,0,0,0,0,100,0,0,0,13.37,23.59,18.17,19.11,13.75,8.19,3.15,0.66,51.65,48.35,RURAL,38
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/11,SUNGAI BOH,716,99.16,0.84,0,0,0,0,0,100,0,0,0,10.75,18.58,24.16,21.23,12.57,9.78,2.23,0.7,50,50,SEMI URBAN,14
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/12,BANDAR PERMAS KECHIL,661,32.22,67.02,0.76,0,0,0,0,95.31,0,4.69,0,6.35,15.28,8.93,24.05,23.15,14.52,6.66,1.06,51.29,48.71,RURAL,6
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/13,PERMAS KECHIL,2485,31.79,67.85,0.36,0,0,0,0,100,0,0,0,12.72,23.02,21.17,20.93,13.36,5.92,2.41,0.48,51.47,48.53,RURAL,36
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/14,SUNGAI DURIAN,1601,81.2,18.61,0.19,0,0,0,0,100,0,0,0,14.3,22.61,21.24,17.8,12.55,7.68,2.87,0.94,51.16,48.84,RURAL,30
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/15,SERKAT,1573,97.77,2.1,0.13,0,0,0,0,99.94,0.06,0,0,17.86,31.79,17.93,15.77,9.66,4.58,1.91,0.51,51.37,48.63,RURAL,36
JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/16,ANDEK MORI,1490,92.55,7.45,0,0,0,0,0,100,0,0,0,11.74,18.59,22.82,20.94,15.1,7.05,3.15,0.6,48.66,51.34,RURAL,29
