UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.165_P.165/POSTAL VOTE_165/UNDI POS_1,JOHOR,POSTAL VOTE,P.165,TANJUNG PIAI,P.165/POSTAL VOTE,POSTAL VOTE,165/UNDI POS,UNDI POS,UNDI POS,1,235,MCA,WEE JECK SENG,MALE,55,131,PPBM,HAJI KARMAINE BIN  SARDINI,MALE,66,60,GERAKAN,WENDY SUBRAMANIAM,FEMALE,38,1,BERJASA,DATO' DR  BADHRULHISHAM,MALE,56,5,INDEPENDENT - KEY,DR. ANG CHUAN LOCK,MALE,49,0,INDEPENDENT - CAR,FARIDAH  ARYANI  BINTI ABD GHAFFAR,FEMALE,45,0,197,14,24
P.165_N.55_165/55/00_1,JOHOR,EARLY VOTE,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/00,UNDI AWAL,BANGUNAN PERKEP IPD PONTIAN,1,20,MCA,WEE JECK SENG,MALE,55,12,PPBM,HAJI KARMAINE BIN  SARDINI,MALE,66,6,GERAKAN,WENDY SUBRAMANIAM,FEMALE,38,0,BERJASA,DATO' DR  BADHRULHISHAM,MALE,56,1,INDEPENDENT - KEY,DR. ANG CHUAN LOCK,MALE,49,0,INDEPENDENT - CAR,FARIDAH  ARYANI  BINTI ABD GHAFFAR,FEMALE,45,0,19,1,0
P.165_N.56_165/56/00_2,JOHOR,EARLY VOTE,P.165,TANJUNG PIAI,N.56,KUKUP,165/56/00,UNDI AWAL,BANGUNAN PERKEP IPD PONTIAN,2,236,MCA,WEE JECK SENG,MALE,55,130,PPBM,HAJI KARMAINE BIN  SARDINI,MALE,66,96,GERAKAN,WENDY SUBRAMANIAM,FEMALE,38,2,BERJASA,DATO' DR  BADHRULHISHAM,MALE,56,6,INDEPENDENT - KEY,DR. ANG CHUAN LOCK,MALE,49,1,INDEPENDENT - CAR,FARIDAH  ARYANI  BINTI ABD GHAFFAR,FEMALE,45,0,235,1,0
P.165_N.55_165/55/01_1,JOHOR,ORDINARY VOTE,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/01,PARIT KUDUS,SEKOLAH KEBANGSAAN PARIT KUDUS,1,280,MCA,WEE JECK SENG,MALE,55,221,PPBM,HAJI KARMAINE BIN  SARDINI,MALE,66,46,GERAKAN,WENDY SUBRAMANIAM,FEMALE,38,1,BERJASA,DATO' DR  BADHRULHISHAM,MALE,56,3,INDEPENDENT - KEY,DR. ANG CHUAN LOCK,MALE,49,1,INDEPENDENT - CAR,FARIDAH  ARYANI  BINTI ABD GHAFFAR,FEMALE,45,1,273,7,0
P.165_N.55_165/55/01_2,JOHOR,ORDINARY VOTE,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/01,PARIT KUDUS,SEKOLAH KEBANGSAAN PARIT KUDUS,2,310,MCA,WEE JECK SENG,MALE,55,210,PPBM,HAJI KARMAINE BIN  SARDINI,MALE,66,80,GERAKAN,WENDY SUBRAMANIAM,FEMALE,38,3,BERJASA,DATO' DR  BADHRULHISHAM,MALE,56,7,INDEPENDENT - KEY,DR. ANG CHUAN LOCK,MALE,49,1,INDEPENDENT - CAR,FARIDAH  ARYANI  BINTI ABD GHAFFAR,FEMALE,45,0,301,9,0
P.165_N.55_165/55/01_3,JOHOR,ORDINARY VOTE,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/01,PARIT KUDUS,SEKOLAH KEBANGSAAN PARIT KUDUS,3,260,MCA,WEE JECK SENG,MALE,55,186,PPBM,HAJI KARMAINE BIN  SARDINI,MALE,66,61,GERAKAN,WENDY SUBRAMANIAM,FEMALE,38,1,BERJASA,DATO' DR  BADHRULHISHAM,MALE,56,8,INDEPENDENT - KEY,DR. ANG CHUAN LOCK,MALE,49,0,INDEPENDENT - CAR,FARIDAH  ARYANI  BINTI ABD GHAFFAR,FEMALE,45,0,256,4,0
P.165_N.55_165/55/01_4,JOHOR,ORDINARY VOTE,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/01,PARIT KUDUS,SEKOLAH KEBANGSAAN PARIT KUDUS,4,285,MCA,WEE JECK SENG,MALE,55,191,PPBM,HAJI KARMAINE BIN  SARDINI,MALE,66,73,GERAKAN,WENDY SUBRAMANIAM,FEMALE,38,0,BERJASA,DATO' DR  BADHRULHISHAM,MALE,56,16,INDEPENDENT - KEY,DR. ANG CHUAN LOCK,MALE,49,0,INDEPENDENT - CAR,FARIDAH  ARYANI  BINTI ABD GHAFFAR,FEMALE,45,1,281,4,0
P.165_N.55_165/55/02_1,JOHOR,ORDINARY VOTE,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/02,TANJONG AYER HITAM,SEKOLAH KEBANGSAAN TANJONG AYER HITAM,1,193,MCA,WEE JECK SENG,MALE,55,130,PPBM,HAJI KARMAINE BIN  SARDINI,MALE,66,35,GERAKAN,WENDY SUBRAMANIAM,FEMALE,38,7,BERJASA,DATO' DR  BADHRULHISHAM,MALE,56,5,INDEPENDENT - KEY,DR. ANG CHUAN LOCK,MALE,49,2,INDEPENDENT - CAR,FARIDAH  ARYANI  BINTI ABD GHAFFAR,FEMALE,45,1,180,13,0
P.165_N.55_165/55/02_2,JOHOR,ORDINARY VOTE,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/02,TANJONG AYER HITAM,SEKOLAH KEBANGSAAN TANJONG AYER HITAM,2,285,MCA,WEE JECK SENG,MALE,55,185,PPBM,HAJI KARMAINE BIN  SARDINI,MALE,66,70,GERAKAN,WENDY SUBRAMANIAM,FEMALE,38,1,BERJASA,DATO' DR  BADHRULHISHAM,MALE,56,20,INDEPENDENT - KEY,DR. ANG CHUAN LOCK,MALE,49,1,INDEPENDENT - CAR,FARIDAH  ARYANI  BINTI ABD GHAFFAR,FEMALE,45,1,278,7,0
P.165_N.55_165/55/02_3,JOHOR,ORDINARY VOTE,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,165/55/02,TANJONG AYER HITAM,SEKOLAH KEBANGSAAN TANJONG AYER HITAM,3,290,MCA,WEE JECK SENG,MALE,55,210,PPBM,HAJI KARMAINE BIN  SARDINI,MALE,66,57,GERAKAN,WENDY SUBRAMANIAM,FEMALE,38,0,BERJASA,DATO' DR  BADHRULHISHAM,MALE,56,18,INDEPENDENT - KEY,DR. ANG CHUAN LOCK,MALE,49,1,INDEPENDENT - CAR,FARIDAH  ARYANI  BINTI ABD GHAFFAR,FEMALE,45,0,286,4,0
