UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,TOTAL ELECTORS (2020),MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),MUSLIM BUMIPUTERA (%),NON MUSLIM BUMIPUTERA (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - ORDINARY VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2020),OKU VOTERS (2020)
P.176_N.23_01,SABAH,P.176,KIMANIS,N.23,BONGAWAN,176/23/01,BATU ENAM,2300,,5.02,0.00,,34.42,58.15,0.00,2.41,100.00,0.00,0.00,0.00,10.74,27,24.43,20.04,11.13,4.35,1.48,0.83,47.83,52.17,RURAL,21
P.176_N.23_02,SABAH,P.176,KIMANIS,N.23,BONGAWAN,176/23/02,KABANG,1397,,5.94,0.07,,30.33,60.82,0.00,2.85,100.00,0.00,0.00,0.00,8.66,28.27,23.77,21.12,11.45,4.08,1.5,1.15,50.25,49.75,RURAL,23
P.176_N.23_03,SABAH,P.176,KIMANIS,N.23,BONGAWAN,176/23/03,GADONG,874,,4.74,0.23,,51.17,38.04,0.00,5.82,100.00,0.00,0.00,0.00,14.53,32.04,20.71,17.62,9.73,3.78,0.92,0.69,47.48,52.52,SEMI URBAN,12
P.176_N.23_04,SABAH,P.176,KIMANIS,N.23,BONGAWAN,176/23/04,BONGAWAN,1994,,8.27,0.20,,69.66,19.70,0.00,2.16,100.00,0.00,0.00,0.00,8.78,19.71,24.07,22.22,16.2,6.42,1.86,0.75,51.05,48.95,RURAL,17
P.176_N.23_05,SABAH,P.176,KIMANIS,N.23,BONGAWAN,176/23/05,KIMANIS MANDAHAN,1180,,1.97,0.08,,48.20,45.29,0.00,4.46,100.00,0.00,0.00,0.00,14.83,28.39,19.49,19.66,10.68,4.15,1.69,1.1,52.03,47.97,RURAL,18
P.176_N.23_06,SABAH,P.176,KIMANIS,N.23,BONGAWAN,176/23/06,KIMANIS ESTATE,2158,,2.15,0.46,,75.11,19.01,0.00,3.27,100.00,0.00,0.00,0.00,9.41,24.33,25.25,20.39,12.6,5.19,1.3,1.53,48.52,51.48,SEMI URBAN,22
P.176_N.23_07,SABAH,P.176,KIMANIS,N.23,BONGAWAN,176/23/07,SIMPANGAN,1313,,17.23,0.15,,9.25,71.55,0.00,1.81,100.00,0.00,0.00,0.00,12.64,27.72,19.27,22.7,8.68,5.26,2.59,1.14,50.95,49.05,RURAL,23
P.176_N.23_08,SABAH,P.176,KIMANIS,N.23,BONGAWAN,176/23/08,KUALA PUS,941,,0.88,0.00,,16.79,81.70,0.00,0.63,100.00,0.00,0.00,0.00,11.16,27.74,21.04,21.89,10.73,3.61,2.87,0.96,52.28,47.72,RURAL,12
P.176_N.23_09,SABAH,P.176,KIMANIS,N.23,BONGAWAN,176/23/09,BONGAWAN ESTATE,643,,2.10,0.00,,46.48,48.57,0.00,2.86,100.00,0.00,0.00,0.00,14.46,33.59,20.22,13.84,8.4,4.51,2.33,2.64,49.77,50.23,RURAL,7
P.176_N.23_10,SABAH,P.176,KIMANIS,N.23,BONGAWAN,176/23/10,SELADAN,3473,,1.32,0.00,,81.28,15.54,0.00,1.87,99.97,0.03,0.00,0.00,13.76,26.86,23.03,18.74,11.95,3.83,1.12,0.69,49.5,50.5,RURAL,29
P.176_N.24_01,SABAH,P.176,KIMANIS,N.24,MEMBAKUT,176/24/01,BINSULOK,1356,,0.09,0.00,,79.49,19.40,0.00,1.03,100.00,0.00,0.00,0.00,13.64,32.08,22.86,16.15,10.1,3.39,1.25,0.52,51.11,48.89,RURAL,11
P.176_N.24_02,SABAH,P.176,KIMANIS,N.24,MEMBAKUT,176/24/02,PIMPING,3057,,0.97,0.03,,75.81,22.70,0.00,0.49,100.00,0.00,0.00,0.00,11.48,26.01,24.01,17.99,11.12,5.46,2.29,1.64,49.56,50.44,SEMI URBAN,31
P.176_N.24_03,SABAH,P.176,KIMANIS,N.24,MEMBAKUT,176/24/03,BRUNEI,1800,,0.26,0.06,,81.08,17.56,0.00,1.04,100.00,0.00,0.00,0.00,13.56,27.72,23.22,16.33,11.61,4.11,1.83,1.61,48.94,51.06,RURAL,15
P.176_N.24_04,SABAH,P.176,KIMANIS,N.24,MEMBAKUT,176/24/04,BANDAU,2175,,5.49,0.28,,18.18,74.07,0.00,1.98,100.00,0.00,0.00,0.00,14.53,25.29,22.76,18.25,10.76,4.74,1.98,1.7,49.52,50.48,RURAL,23
P.176_N.24_05,SABAH,P.176,KIMANIS,N.24,MEMBAKUT,176/24/05,MEMBAKUT,1256,,14.44,0.48,,39.90,41.38,0.00,3.80,99.28,0.00,0.72,0.00,11.54,22.05,25.64,19.75,12.9,3.58,2.31,2.23,50.32,49.68,SEMI URBAN,15
P.176_N.24_06,SABAH,P.176,KIMANIS,N.24,MEMBAKUT,176/24/06,LUMAT,967,,2.81,0.10,,36.28,56.72,0.00,4.09,100.00,0.00,0.00,0.00,14.89,27.51,20.79,19.34,10.44,4.34,1.76,0.93,51.5,48.5,RURAL,10
P.176_N.24_07,SABAH,P.176,KIMANIS,N.24,MEMBAKUT,176/24/07,MAWAO,1674,,8.44,0.72,,36.41,50.14,0.00,4.29,100.00,0.00,0.00,0.00,12.96,22.76,20.73,22.7,13.08,4.36,1.79,1.61,50.6,49.4,SEMI URBAN,24
P.176_N.24_08,SABAH,P.176,KIMANIS,N.24,MEMBAKUT,176/24/08,SINUKA,678,,3.15,0.00,,11.13,82.37,0.00,3.34,100.00,0.00,0.00,0.00,15.78,29.79,19.91,20.06,8.55,4.42,1.03,0.44,52.65,47.35,RURAL,9
P.176_N.24_09,SABAH,P.176,KIMANIS,N.24,MEMBAKUT,176/24/09,DINDONG,428,,1.13,0.00,,72.60,22.03,0.00,4.24,100.00,0.00,0.00,0.00,16.36,35.05,18.93,17.99,7.24,2.8,1.17,0.47,47.66,52.34,RURAL,7
