UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE SEX,WARISAN CANDIDATE AGE,WARISAN CANDIDATE VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.176_P.176/POSTAL VOTE_176/UNDI POS_1,SABAH,POSTAL VOTE,P.176,KIMANIS,P.176/POSTAL VOTE,POSTAL VOTE,176/UNDI POS,UNDI POS,UNDI POS,1,36,UMNO,MOHAMAD BIN ALAMIN,MALE,47,13,WARISAN,KARIM BIN BUJANG,MALE,67,21,34,2,0
P.176_P.176/EARLY VOTE_176/24/00_1,SABAH,EARLY VOTE,P.176,KIMANIS,P.176/EARLY VOTE,EARLY VOTE,176/24/00,UNDI AWAL,BILIK GERAKAN BALAI POLIS MEMBAKUT,1,8,UMNO,MOHAMAD BIN ALAMIN,MALE,47,2,WARISAN,KARIM BIN BUJANG,MALE,67,6,8,0,0
P.176_N.23_176/23/01_1,SABAH,ORDINARY VOTE,P.176,KIMANIS,N.23,BONGAWAN,176/23/01,BATU ENAM,SEKOLAH KEBANGSAAN OUR LADY,1,271,UMNO,MOHAMAD BIN ALAMIN,MALE,47,120,WARISAN,KARIM BIN BUJANG,MALE,67,139,259,12,0
P.176_N.23_176/23/01_2,SABAH,ORDINARY VOTE,P.176,KIMANIS,N.23,BONGAWAN,176/23/01,BATU ENAM,SEKOLAH KEBANGSAAN OUR LADY,2,304,UMNO,MOHAMAD BIN ALAMIN,MALE,47,152,WARISAN,KARIM BIN BUJANG,MALE,67,148,300,4,0
P.176_N.23_176/23/01_3,SABAH,ORDINARY VOTE,P.176,KIMANIS,N.23,BONGAWAN,176/23/01,BATU ENAM,SEKOLAH KEBANGSAAN OUR LADY,3,454,UMNO,MOHAMAD BIN ALAMIN,MALE,47,261,WARISAN,KARIM BIN BUJANG,MALE,67,190,451,3,0
P.176_N.23_176/23/01_4,SABAH,ORDINARY VOTE,P.176,KIMANIS,N.23,BONGAWAN,176/23/01,BATU ENAM,SEKOLAH KEBANGSAAN OUR LADY,4,450,UMNO,MOHAMAD BIN ALAMIN,MALE,47,279,WARISAN,KARIM BIN BUJANG,MALE,67,165,444,6,0
P.176_N.23_176/23/01_5,SABAH,ORDINARY VOTE,P.176,KIMANIS,N.23,BONGAWAN,176/23/01,BATU ENAM,SEKOLAH KEBANGSAAN OUR LADY,5,397,UMNO,MOHAMAD BIN ALAMIN,MALE,47,250,WARISAN,KARIM BIN BUJANG,MALE,67,145,395,2,0
P.176_N.23_176/23/02_1,SABAH,ORDINARY VOTE,P.176,KIMANIS,N.23,BONGAWAN,176/23/02,KABANG,SEKOLAH KEBANGSAAN KAYAU,1,263,UMNO,MOHAMAD BIN ALAMIN,MALE,47,141,WARISAN,KARIM BIN BUJANG,MALE,67,113,254,9,0
P.176_N.23_176/23/02_2,SABAH,ORDINARY VOTE,P.176,KIMANIS,N.23,BONGAWAN,176/23/02,KABANG,SEKOLAH KEBANGSAAN KAYAU,2,437,UMNO,MOHAMAD BIN ALAMIN,MALE,47,271,WARISAN,KARIM BIN BUJANG,MALE,67,161,432,5,0
P.176_N.23_176/23/02_3,SABAH,ORDINARY VOTE,P.176,KIMANIS,N.23,BONGAWAN,176/23/02,KABANG,SEKOLAH KEBANGSAAN KAYAU,3,386,UMNO,MOHAMAD BIN ALAMIN,MALE,47,252,WARISAN,KARIM BIN BUJANG,MALE,67,128,380,6,0
P.176_N.23_176/23/03_1,SABAH,ORDINARY VOTE,P.176,KIMANIS,N.23,BONGAWAN,176/23/03,GADONG,SEKOLAH KEBANGSAAN BELATIK,1,302,UMNO,MOHAMAD BIN ALAMIN,MALE,47,124,WARISAN,KARIM BIN BUJANG,MALE,67,175,299,3,0
P.176_N.23_176/23/03_2,SABAH,ORDINARY VOTE,P.176,KIMANIS,N.23,BONGAWAN,176/23/03,GADONG,SEKOLAH KEBANGSAAN BELATIK,2,420,UMNO,MOHAMAD BIN ALAMIN,MALE,47,194,WARISAN,KARIM BIN BUJANG,MALE,67,224,418,2,0
P.176_N.23_176/23/04_1,SABAH,ORDINARY VOTE,P.176,KIMANIS,N.23,BONGAWAN,176/23/04,BONGAWAN,SEKOLAH KEBANGSAAN NYARIS - NYARIS,1,254,UMNO,MOHAMAD BIN ALAMIN,MALE,47,123,WARISAN,KARIM BIN BUJANG,MALE,67,131,254,0,0
