UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.085_N.23_085/23/UNDI POS_1,PAHANG,POSTAL VOTE,P.085,PEKAN,N.23,CHINI,085/23/UNDI POS,UNDI POS,UNDI POS,1,156,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,120,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,4,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,0,124,8,24
P.085_N.23_085/23/00_1,PAHANG,EARLY VOTE,P.085,PEKAN,N.23,CHINI,085/23/00,UNDI AWAL,"BILIK MAKLUMAT, BALAI POLIS CHINI",1,17,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,17,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,0,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,0,17,0,0
P.085_N.23_085/23/01_1,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/01,TERPAI,SK KINCHIR,1,99,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,90,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,0,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,1,91,8,0
P.085_N.23_085/23/01_2,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/01,TERPAI,SK KINCHIR,2,329,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,296,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,19,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,4,319,10,0
P.085_N.23_085/23/02_1,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/02,SALONG,DEWAN MEMPELAS KAMPUNG BARU PPSK SALONG MUKIM PENYOR 1,1,119,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,100,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,10,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,7,117,2,0
P.085_N.23_085/23/02_2,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/02,SALONG,DEWAN MEMPELAS KAMPUNG BARU PPSK SALONG MUKIM PENYOR 1,2,177,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,141,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,21,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,9,171,6,0
P.085_N.23_085/23/03_1,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/03,MAMBANG,SK MAMBANG,1,106,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,84,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,15,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,4,103,3,0
P.085_N.23_085/23/03_2,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/03,MAMBANG,SK MAMBANG,2,302,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,244,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,43,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,3,290,12,0
P.085_N.23_085/23/03_3,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/03,MAMBANG,SK MAMBANG,3,300,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,271,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,23,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,1,295,5,0
P.085_N.23_085/23/04_1,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/04,PALOH HINAI,SMK PALOH HINAI,1,121,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,107,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,8,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,2,117,4,0
P.085_N.23_085/23/04_2,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/04,PALOH HINAI,SMK PALOH HINAI,2,247,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,221,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,19,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,4,244,3,0
P.085_N.23_085/23/04_3,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/04,PALOH HINAI,SMK PALOH HINAI,3,221,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,210,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,8,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,1,219,2,0
P.085_N.23_085/23/04_4,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/04,PALOH HINAI,SMK PALOH HINAI,4,218,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,202,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,10,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,0,212,6,0
P.085_N.23_085/23/05_1,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/05,KAMPUNG DUSUN,"BALAI RAYA, PERPUSTAKAAN DESA KAMPUNG DUSUN DAN TABIKA KEMAS KAMPUNG DUSUN",1,142,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,119,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,9,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,5,133,9,0
P.085_N.23_085/23/05_2,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/05,KAMPUNG DUSUN,"BALAI RAYA, PERPUSTAKAAN DESA KAMPUNG DUSUN DAN TABIKA KEMAS KAMPUNG DUSUN",2,164,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,148,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,6,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,3,157,7,0
P.085_N.23_085/23/05_3,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/05,KAMPUNG DUSUN,"BALAI RAYA, PERPUSTAKAAN DESA KAMPUNG DUSUN DAN TABIKA KEMAS KAMPUNG DUSUN",3,174,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,161,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,9,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,0,170,4,0
P.085_N.23_085/23/06_1,PAHANG,ORDINARY VOTE,P.085,PEKAN,N.23,CHINI,085/23/06,FELDA CHINI TIMUR 3 & 4,SK LKTP CHINI TIMUR 2,1,105,UMNO,MOHD SHARIM BIN MD ZAIN,MALE,41,94,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,64,5,INDEPENDENT - KEY,CMK SHUKRI RAMLI,MALE,49,0,99,6,0
