STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,DUN CODE,DUN NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,TOTAL ELECTORS (2023),MALAY (%),CHINESE (%),INDIAN (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),ORANG ASLI (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18 - 20 (%),21 - 29 (%),30 - 39 (%),40 - 49 (%),50 - 59 (%),60 - 69 (%),70 - 79 (%),80 - 89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN-RURAL CLASSIFICATION (2023)
TERENGGANU,P.040,KEMAMAN,N.29,KEMASIK,040/29/01,BATU PUTIH,720,99.44,0.00,0.00,0.00,0.00,0.00,0.56,100.00,0.00,0.00,0.00,6.53,19.86,27.92,20.14,12.08,9.72,2.78,0.83,0.14,50.28,49.72,RURAL
TERENGGANU,P.040,KEMAMAN,N.29,KEMASIK,040/29/02,FELDA KERTIH 6,3070,99.38,0.07,0.03,0.07,0.03,0.10,0.33,99.97,0.03,0.00,0.00,4.07,16.25,29.45,27.49,7.65,8.47,6.06,0.46,0.10,51.37,48.63,SEMI URBAN
TERENGGANU,P.040,KEMAMAN,N.29,KEMASIK,040/29/03,KAMPUNG RANGGON,1461,98.56,0.07,0.75,0.00,0.00,0.14,0.48,100.00,0.00,0.00,0.00,5.75,23.68,24.50,14.44,15.88,10.34,3.76,1.30,0.34,49.90,50.10,RURAL
TERENGGANU,P.040,KEMAMAN,N.29,KEMASIK,040/29/04,KUALA KERTIH,2845,98.98,0.28,0.63,0.00,0.04,0.00,0.07,99.96,0.04,0.00,0.00,7.17,23.62,25.45,20.42,14.45,5.87,2.18,0.74,0.11,50.26,49.74,SEMI URBAN
TERENGGANU,P.040,KEMAMAN,N.29,KEMASIK,040/29/05,PEKAN KERTIH,3558,95.05,3.71,0.48,0.03,0.08,0.03,0.62,100.00,0.00,0.00,0.00,5.34,19.98,23.72,19.17,14.98,11.75,4.02,1.01,0.03,50.93,49.07,SEMI URBAN
TERENGGANU,P.040,KEMAMAN,N.29,KEMASIK,040/29/06,KEMASIK,1980,95.91,3.08,0.15,0.05,0.20,0.00,0.61,99.90,0.05,0.05,0.00,5.30,17.98,27.98,21.82,11.67,9.85,4.14,1.06,0.20,52.12,47.88,SEMI URBAN
TERENGGANU,P.040,KEMAMAN,N.29,KEMASIK,040/29/07,PEKAN AIR JERNIH,1909,71.61,27.55,0.31,0.05,0.10,0.05,0.31,99.37,0.00,0.63,0.00,4.98,18.33,25.35,18.07,14.93,10.37,4.98,2.72,0.26,51.39,48.61,RURAL
TERENGGANU,P.040,KEMAMAN,N.29,KEMASIK,040/29/08,FELDA KERTIH 5,2722,99.60,0.11,0.15,0.00,0.00,0.04,0.11,100.00,0.00,0.00,0.00,4.34,21.34,37.58,16.61,6.39,11.57,2.13,0.04,0.00,50.48,49.52,SEMI URBAN
TERENGGANU,P.040,KEMAMAN,N.29,KEMASIK,040/29/09,CHABANG,1314,98.86,0.08,0.08,0.08,0.00,0.08,0.84,100.00,0.00,0.00,0.00,6.09,24.73,25.04,19.79,11.72,8.52,2.97,0.91,0.23,52.05,47.95,RURAL
TERENGGANU,P.040,KEMAMAN,N.29,KEMASIK,040/29/10,TOK KAYA,3658,98.66,0.44,0.22,0.05,0.05,0.05,0.52,100.00,0.00,0.00,0.00,8.17,24.00,23.54,18.62,13.31,8.42,3.01,0.82,0.11,50.30,49.70,SEMI URBAN
