UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.089_N.36_089/36/UNDI POS_1,PAHANG,POSTAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/UNDI POS,UNDI POS,UNDI POS,1,73,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,47,,,,,,PAS,CIKGU KASIM,MALE,61,13,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,0,60,11,2
P.089_N.36_089/36/00_1,PAHANG,EARLY VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/00,UNDI AWAL,RUMAH REHAT BALAI POLIS MANCHIS,1,0,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,0,,,,,,PAS,CIKGU KASIM,MALE,61,0,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,0,0,0,0
P.089_N.36_089/36/01_1,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/01,FELDA SUNGAI KEMASUL,SEKOLAH KEBANGSAAN (FELDA) KEMASUL,1,380,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,194,,,,,,PAS,CIKGU KASIM,MALE,61,177,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,3,374,6,0
P.089_N.36_089/36/01_2,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/01,FELDA SUNGAI KEMASUL,SEKOLAH KEBANGSAAN (FELDA) KEMASUL,2,359,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,175,,,,,,PAS,CIKGU KASIM,MALE,61,182,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,1,358,1,0
P.089_N.36_089/36/01_3,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/01,FELDA SUNGAI KEMASUL,SEKOLAH KEBANGSAAN (FELDA) KEMASUL,3,449,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,175,,,,,,PAS,CIKGU KASIM,MALE,61,270,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,1,446,3,0
P.089_N.36_089/36/01_4,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/01,FELDA SUNGAI KEMASUL,SEKOLAH KEBANGSAAN (FELDA) KEMASUL,4,466,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,166,,,,,,PAS,CIKGU KASIM,MALE,61,296,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,0,462,4,0
P.089_N.36_089/36/01_5,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/01,FELDA SUNGAI KEMASUL,SEKOLAH KEBANGSAAN (FELDA) KEMASUL,5,447,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,182,,,,,,PAS,CIKGU KASIM,MALE,61,262,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,1,445,2,0
P.089_N.36_089/36/02_1,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/02,FELDA CHEMOMOI,SEKOLAH MENENGAH KEBANGSAAN (FELDA) CHEMOMOI,1,369,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,237,,,,,,PAS,CIKGU KASIM,MALE,61,122,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,3,362,7,0
P.089_N.36_089/36/02_2,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/02,FELDA CHEMOMOI,SEKOLAH MENENGAH KEBANGSAAN (FELDA) CHEMOMOI,2,557,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,315,,,,,,PAS,CIKGU KASIM,MALE,61,239,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,2,556,1,0
P.089_N.36_089/36/02_3,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/02,FELDA CHEMOMOI,SEKOLAH MENENGAH KEBANGSAAN (FELDA) CHEMOMOI,3,484,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,224,,,,,,PAS,CIKGU KASIM,MALE,61,256,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,0,480,4,0
P.089_N.36_089/36/02_4,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/02,FELDA CHEMOMOI,SEKOLAH MENENGAH KEBANGSAAN (FELDA) CHEMOMOI,4,474,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,233,,,,,,PAS,CIKGU KASIM,MALE,61,239,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,0,472,2,0
P.089_N.36_089/36/02_5,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/02,FELDA CHEMOMOI,SEKOLAH MENENGAH KEBANGSAAN (FELDA) CHEMOMOI,5,468,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,247,,,,,,PAS,CIKGU KASIM,MALE,61,218,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,2,467,1,0
P.089_N.36_089/36/03_1,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/03,FELDA SUNGAI KEMAHAL,SEKOLAH KEBANGSAAN (FELDA) SUNGAI KEMAHAL,1,350,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,200,,,,,,PAS,CIKGU KASIM,MALE,61,140,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,4,344,6,0
P.089_N.36_089/36/03_2,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/03,FELDA SUNGAI KEMAHAL,SEKOLAH KEBANGSAAN (FELDA) SUNGAI KEMAHAL,2,383,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,174,,,,,,PAS,CIKGU KASIM,MALE,61,207,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,0,381,2,0
P.089_N.36_089/36/03_3,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/03,FELDA SUNGAI KEMAHAL,SEKOLAH KEBANGSAAN (FELDA) SUNGAI KEMAHAL,3,415,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,181,,,,,,PAS,CIKGU KASIM,MALE,61,233,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,1,415,0,0
P.089_N.36_089/36/03_4,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/03,FELDA SUNGAI KEMAHAL,SEKOLAH KEBANGSAAN (FELDA) SUNGAI KEMAHAL,4,419,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,217,,,,,,PAS,CIKGU KASIM,MALE,61,197,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,1,415,4,0
P.089_N.36_089/36/04_1,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/04,KAMPUNG JAWI-JAWI,SEKOLAH KEBANGSAAN PELANGAI,1,381,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,247,,,,,,PAS,CIKGU KASIM,MALE,61,117,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,3,367,14,0
P.089_N.36_089/36/04_2,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/04,KAMPUNG JAWI-JAWI,SEKOLAH KEBANGSAAN PELANGAI,2,483,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,257,,,,,,PAS,CIKGU KASIM,MALE,61,223,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,3,483,0,0
P.089_N.36_089/36/04_3,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/04,KAMPUNG JAWI-JAWI,SEKOLAH KEBANGSAAN PELANGAI,3,469,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,252,,,,,,PAS,CIKGU KASIM,MALE,61,216,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,0,468,1,0
P.089_N.36_089/36/05_1,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/05,SIMPANG PELANGAI,SEKOLAH MENENGAH KEBANGSAAN SERI PELANGAI,1,367,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,254,,,,,,PAS,CIKGU KASIM,MALE,61,108,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,2,364,3,0
P.089_N.36_089/36/05_2,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/05,SIMPANG PELANGAI,SEKOLAH MENENGAH KEBANGSAAN SERI PELANGAI,2,540,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,316,,,,,,PAS,CIKGU KASIM,MALE,61,223,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,1,540,0,0
P.089_N.36_089/36/05_3,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/05,SIMPANG PELANGAI,SEKOLAH MENENGAH KEBANGSAAN SERI PELANGAI,3,515,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,309,,,,,,PAS,CIKGU KASIM,MALE,61,203,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,1,513,2,0
P.089_N.36_089/36/06_1,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/06,MANCHIS,SEKOLAH JENIS KEBANGSAAN (CINA) MANCHIS,1,340,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,316,,,,,,PAS,CIKGU KASIM,MALE,61,20,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,2,338,2,0
P.089_N.36_089/36/06_2,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/06,MANCHIS,SEKOLAH JENIS KEBANGSAAN (CINA) MANCHIS,2,310,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,244,,,,,,PAS,CIKGU KASIM,MALE,61,60,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,0,304,6,0
P.089_N.36_089/36/06_3,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/06,MANCHIS,SEKOLAH JENIS KEBANGSAAN (CINA) MANCHIS,3,321,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,245,,,,,,PAS,CIKGU KASIM,MALE,61,75,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,1,321,0,0
P.089_N.36_089/36/07_1,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/07,SUNGAI GAPOI,DEWAN SERBAGUNA SUNGAI GAPOI,1,244,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,219,,,,,,PAS,CIKGU KASIM,MALE,61,12,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,2,233,11,0
P.089_N.36_089/36/07_2,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/07,SUNGAI GAPOI,DEWAN SERBAGUNA SUNGAI GAPOI,2,260,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,243,,,,,,PAS,CIKGU KASIM,MALE,61,9,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,2,254,6,0
P.089_N.36_089/36/07_3,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/07,SUNGAI GAPOI,DEWAN SERBAGUNA SUNGAI GAPOI,3,331,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,310,,,,,,PAS,CIKGU KASIM,MALE,61,12,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,1,323,8,0
P.089_N.36_089/36/08_1,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/08,TELEMONG,SEKOLAH JENIS KEBANGSAAN (CINA) TELEMONG,1,329,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,315,,,,,,PAS,CIKGU KASIM,MALE,61,6,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,4,325,4,0
P.089_N.36_089/36/08_2,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/08,TELEMONG,SEKOLAH JENIS KEBANGSAAN (CINA) TELEMONG,2,337,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,326,,,,,,PAS,CIKGU KASIM,MALE,61,8,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,2,336,1,0
P.089_N.36_089/36/08_3,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/08,TELEMONG,SEKOLAH JENIS KEBANGSAAN (CINA) TELEMONG,3,245,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,237,,,,,,PAS,CIKGU KASIM,MALE,61,3,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,4,244,1,0
P.089_N.36_089/36/09_1,PAHANG,NORMAL VOTE,P.089,BENTONG,N.36,PELANGAI,089/36/09,SUNGAI PERDAK,BALAI RAYA KG. SUNGAI PERDAK,1,303,UMNO,DATO' AMIZAR BIN ABU ADAM,MALE,53,267,,,,,,PAS,CIKGU KASIM,MALE,61,29,,,,,,,,,,,,,,,,INDEPENDENT - CAR,HASLIHELMY DM BIN ZULHASLI,MALE,36,0,296,7,0
