STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,TOTAL ELECTORS (2024),MALAY (%),CHINESE (%),INDIAN (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),ORANG ASLI (%),OTHERS (%),ELECTORS - ORDINARY VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18 - 20 (%),21 - 29 (%),30 - 39 (%),40 - 49 (%),50 - 59 (%),60 - 69 (%),70 - 79 (%),80 - 89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN-RURAL CLASSIFICATION (2024),OKU VOTERS (2024)
KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/01,TOHOI,455,1.54,0.00,0.00,0.44,0.44,97.58,0.00,100.00,0.00,0.00,0.00,9.23,36.70,28.13,12.31,8.57,3.96,1.10,0.00,0.00,49.23,50.77,RURAL,11
KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/02,POS SIMPOR,543,0.37,0.00,0.00,0.00,0.00,99.63,0.00,100.00,0.00,0.00,0.00,10.50,37.38,23.20,12.89,8.10,4.97,2.03,0.92,0.00,53.41,46.59,RURAL,12
KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/03,SUNGAI PUIAN,456,0.44,0.00,0.00,0.00,0.00,99.56,0.00,100.00,0.00,0.00,0.00,10.09,31.36,25.88,14.69,7.89,6.80,2.19,1.10,0.00,51.10,48.90,RURAL,8
KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/04,SUNGAI JENERA,700,0.14,0.00,0.00,0.00,0.00,99.86,0.00,100.00,0.00,0.00,0.00,9.71,34.00,26.71,13.57,9.29,3.86,2.14,0.57,0.14,49.29,50.71,RURAL,10
KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/05,SUNGAI WIAS,406,0.99,0.00,0.00,0.49,0.00,98.28,0.25,100.00,0.00,0.00,0.00,12.32,36.21,26.85,14.53,5.91,2.96,1.23,0.00,0.00,50.74,49.26,RURAL,17
KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/06,JEREK,1501,99.60,0.00,0.07,0.00,0.00,0.00,0.33,100.00,0.00,0.00,0.00,5.73,27.98,26.92,17.06,10.46,7.79,3.13,0.80,0.13,49.50,50.50,RURAL,42
KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/07,BERTAM BARU,1342,99.33,0.00,0.00,0.15,0.00,0.00,0.52,98.96,0.00,1.04,0.00,4.40,24.81,24.81,19.82,13.04,8.57,3.50,1.04,0.00,50.97,49.03,RURAL,49
KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/08,PASIR TUMBOH,831,99.40,0.00,0.00,0.12,0.12,0.00,0.36,100.00,0.00,0.00,0.00,5.42,22.86,29.36,15.28,11.91,8.66,5.29,1.20,0.00,53.91,46.09,RURAL,22
KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/09,LADANG SEDC,886,96.84,1.47,0.00,0.23,0.00,0.00,1.47,100.00,0.00,0.00,0.00,6.09,26.30,25.73,13.66,12.87,10.50,3.95,0.68,0.23,54.51,45.49,RURAL,23
KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/10,JERAM TEKOH,2209,99.23,0.05,0.00,0.14,0.14,0.00,0.45,100.00,0.00,0.00,0.00,4.62,20.96,28.75,21.96,9.73,5.93,6.79,1.27,0.00,50.84,49.16,RURAL,58
