UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.032_N.43_032/43/UNDI POS_1,KELANTAN,POSTAL VOTE,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/UNDI POS,UNDI POS,UNDI POS,1,43,UMNO,AWIE,MALE,38,30,PPBM,RIZWADI ISMAIL,MALE,41,8,38,3,2
P.032_N.43_032/43/00_1,KELANTAN,EARLY VOTE,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS BERTAM,1,,UMNO,AWIE,MALE,38,,PPBM,RIZWADI ISMAIL,MALE,41,,,,
P.032_N.43_032/43/01_1,KELANTAN,NORMAL VOTE,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/01,TOHOI,SEKOLAH KEBANGSAAN TOHOI,1,173,UMNO,AWIE,MALE,38,157,PPBM,RIZWADI ISMAIL,MALE,41,14,171,2,0
P.032_N.43_032/43/01_2,KELANTAN,NORMAL VOTE,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/01,TOHOI,SEKOLAH KEBANGSAAN TOHOI,2,193,UMNO,AWIE,MALE,38,173,PPBM,RIZWADI ISMAIL,MALE,41,14,187,6,0
P.032_N.43_032/43/02_1,KELANTAN,NORMAL VOTE,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/02,POS SIMPOR,DEWAN ORANG RAMAI POS SIMPOR,1,175,UMNO,AWIE,MALE,38,163,PPBM,RIZWADI ISMAIL,MALE,41,11,174,1,0
P.032_N.43_032/43/02_2,KELANTAN,NORMAL VOTE,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/02,POS SIMPOR,DEWAN ORANG RAMAI POS SIMPOR,2,173,UMNO,AWIE,MALE,38,162,PPBM,RIZWADI ISMAIL,MALE,41,7,169,4,0
P.032_N.43_032/43/03_1,KELANTAN,NORMAL VOTE,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/03,SUNGAI PUIAN,PUSAT PENDIDIKAN KOMINITI POS GOB,1,135,UMNO,AWIE,MALE,38,128,PPBM,RIZWADI ISMAIL,MALE,41,4,132,3,0
P.032_N.43_032/43/03_2,KELANTAN,NORMAL VOTE,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/03,SUNGAI PUIAN,PUSAT PENDIDIKAN KOMINITI POS GOB,2,178,UMNO,AWIE,MALE,38,177,PPBM,RIZWADI ISMAIL,MALE,41,1,178,0,0
P.032_N.43_032/43/04_1,KELANTAN,NORMAL VOTE,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/04,SUNGAI JENERA,SEKOLAH KEBANGSAAN SRI PERMAI (JHEOA),1,240,UMNO,AWIE,MALE,38,200,PPBM,RIZWADI ISMAIL,MALE,41,38,238,2,0
P.032_N.43_032/43/04_2,KELANTAN,NORMAL VOTE,P.032,GUA MUSANG,N.43,NENGGIRI,032/43/04,SUNGAI JENERA,SEKOLAH KEBANGSAAN SRI PERMAI (JHEOA),2,293,UMNO,AWIE,MALE,38,240,PPBM,RIZWADI ISMAIL,MALE,41,50,290,3,0
