UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTE,TOTAL UNRETURNED BALLOTS
P.152_P.152/POSTAL VOTE_152/29/POSTAL VOTE_1,JOHOR,POSTAL VOTE,P.152,KLUANG,P.152/POSTAL VOTE,MAHKOTA,152/29/POSTAL VOTE,UNDI POS,UNDI POS,1,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,431,PPBM,COACH HAIZAN,MALE,61,110,541,3,
P.152_P.152/EARLY VOTE_152/29/00_1,JOHOR,EARLY VOTE,P.152,KLUANG,P.152/EARLY VOTE,MAHKOTA,152/29/00,UNDI AWAL,"DEWAN PENGAMAN ZAMRUD, TAMAN PERUMAHAN POLIS IBU PEJABAT POLIS DAERAH (IPD KLUANG)",1,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_P.152/EARLY VOTE_152/29/00_1,JOHOR,EARLY VOTE,P.152,KLUANG,P.152/EARLY VOTE,MAHKOTA,152/29/00,UNDI AWAL,"DEWAN MAHKOTA, KEM MAHKOTA",1,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_P.152/EARLY VOTE_152/29/00_2,JOHOR,EARLY VOTE,P.152,KLUANG,P.152/EARLY VOTE,MAHKOTA,152/29/00,UNDI AWAL,"DEWAN MAHKOTA, KEM MAHKOTA",2,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_P.152/EARLY VOTE_152/29/00_3,JOHOR,EARLY VOTE,P.152,KLUANG,P.152/EARLY VOTE,MAHKOTA,152/29/00,UNDI AWAL,"DEWAN MAHKOTA, KEM MAHKOTA",3,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_P.152/EARLY VOTE_152/29/00_4,JOHOR,EARLY VOTE,P.152,KLUANG,P.152/EARLY VOTE,MAHKOTA,152/29/00,UNDI AWAL,"DEWAN MAHKOTA, KEM MAHKOTA",4,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_P.152/EARLY VOTE_152/29/00_5,JOHOR,EARLY VOTE,P.152,KLUANG,P.152/EARLY VOTE,MAHKOTA,152/29/00,UNDI AWAL,"DEWAN MAHKOTA, KEM MAHKOTA",5,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_P.152/EARLY VOTE_152/29/00_6,JOHOR,EARLY VOTE,P.152,KLUANG,P.152/EARLY VOTE,MAHKOTA,152/29/00,UNDI AWAL,"DEWAN MAHKOTA, KEM MAHKOTA",6,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_P.152/EARLY VOTE_152/29/00_7,JOHOR,EARLY VOTE,P.152,KLUANG,P.152/EARLY VOTE,MAHKOTA,152/29/00,UNDI AWAL,"DEWAN MAHKOTA, KEM MAHKOTA",7,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_P.152/EARLY VOTE_152/29/00_8,JOHOR,EARLY VOTE,P.152,KLUANG,P.152/EARLY VOTE,MAHKOTA,152/29/00,UNDI AWAL,"DEWAN MAHKOTA, KEM MAHKOTA",8,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_P.152/EARLY VOTE_152/29/00_1,JOHOR,EARLY VOTE,P.152,KLUANG,P.152/EARLY VOTE,MAHKOTA,152/29/00,UNDI AWAL,SEKOLAH KEBANGSAAN SULTAN SIR IBRAHIM,1,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_P.152/EARLY VOTE_152/29/00_2,JOHOR,EARLY VOTE,P.152,KLUANG,P.152/EARLY VOTE,MAHKOTA,152/29/00,UNDI AWAL,SEKOLAH KEBANGSAAN SULTAN SIR IBRAHIM,2,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
