UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.094_N.06_094/06/UNDI POS_1,SELANGOR,POSTAL VOTE,P.094,HULU SELANGOR,N.06,KUALA KUBU BAHARU,094/06/UNDI POS,UNDI POS,UNDI POS,1,188,DAP,PANG SOCK TAO,FEMALE,31,101,PPBM,KHAIRUL AZHARI SAUT,MALE,54,65,PRM,HAFIZAH,FEMALE,50,0,INDEPENDENT,ERIS NYAU KE XIN,FEMALE,29,0,166,11,11
P.094_N.06_094/06/00_a1,SELANGOR,EARLY VOTE,P.094,HULU SELANGOR,N.06,KUALA KUBU BAHARU,094/06/00,UNDI AWAL,"DEWAN SERBAGUNA MAKTAB PDRM, KUALA KUBU BHARU (N.06 KUALA KUBU BAHARU)",1,297,DAP,PANG SOCK TAO,FEMALE,31,259,PPBM,KHAIRUL AZHARI SAUT,MALE,54,36,PRM,HAFIZAH,FEMALE,50,1,INDEPENDENT,ERIS NYAU KE XIN,FEMALE,29,0,296,1,0
P.094_N.06_094/06/00_b1,SELANGOR,EARLY VOTE,P.094,HULU SELANGOR,N.06,KUALA KUBU BAHARU,094/06/00,UNDI AWAL,"DEWAN SERBAGUNA MAKTAB PDRM, KUALA KUBU BHARU (N.06 KUALA KUBU BAHARU)",2,299,DAP,PANG SOCK TAO,FEMALE,31,249,PPBM,KHAIRUL AZHARI SAUT,MALE,54,49,PRM,HAFIZAH,FEMALE,50,0,INDEPENDENT,ERIS NYAU KE XIN,FEMALE,29,1,299,0,0
P.094_N.06_094/06/00_c1,SELANGOR,EARLY VOTE,P.094,HULU SELANGOR,N.06,KUALA KUBU BAHARU,094/06/00,UNDI AWAL,"REJIMEN SEMBOYAN DIVISYEN KEEMPAT INFANTRI, KEM ERSKINE",1,155,DAP,PANG SOCK TAO,FEMALE,31,84,PPBM,KHAIRUL AZHARI SAUT,MALE,54,71,PRM,HAFIZAH,FEMALE,50,0,INDEPENDENT,ERIS NYAU KE XIN,FEMALE,29,0,155,0,0
P.094_N.06_094/06/01_1,SELANGOR,ORDINARY VOTE,P.094,HULU SELANGOR,N.06,KUALA KUBU BAHARU,094/06/01,KAMPUNG BAHARU KERLING,SEKOLAH JENIS KEBANGSAAN (CINA) KERLING,1,,DAP,PANG SOCK TAO,FEMALE,31,,PPBM,KHAIRUL AZHARI SAUT,MALE,54,,PRM,HAFIZAH,FEMALE,50,,INDEPENDENT,ERIS NYAU KE XIN,FEMALE,29,,,,
P.094_N.06_094/06/01_2,SELANGOR,ORDINARY VOTE,P.094,HULU SELANGOR,N.06,KUALA KUBU BAHARU,094/06/01,KAMPUNG BAHARU KERLING,SEKOLAH JENIS KEBANGSAAN (CINA) KERLING,2,,DAP,PANG SOCK TAO,FEMALE,31,,PPBM,KHAIRUL AZHARI SAUT,MALE,54,,PRM,HAFIZAH,FEMALE,50,,INDEPENDENT,ERIS NYAU KE XIN,FEMALE,29,,,,
P.094_N.06_094/06/01_3,SELANGOR,ORDINARY VOTE,P.094,HULU SELANGOR,N.06,KUALA KUBU BAHARU,094/06/01,KAMPUNG BAHARU KERLING,SEKOLAH JENIS KEBANGSAAN (CINA) KERLING,3,,DAP,PANG SOCK TAO,FEMALE,31,,PPBM,KHAIRUL AZHARI SAUT,MALE,54,,PRM,HAFIZAH,FEMALE,50,,INDEPENDENT,ERIS NYAU KE XIN,FEMALE,29,,,,
P.094_N.06_094/06/02_a1,SELANGOR,ORDINARY VOTE,P.094,HULU SELANGOR,N.06,KUALA KUBU BAHARU,094/06/02,PERTAK,SEKOLAH JENIS KEBANGSAAN (CINA) BUKIT FRASER (TAPAK LAMA),1,18,DAP,PANG SOCK TAO,FEMALE,31,17,PPBM,KHAIRUL AZHARI SAUT,MALE,54,1,PRM,HAFIZAH,FEMALE,50,0,INDEPENDENT,ERIS NYAU KE XIN,FEMALE,29,0,18,0,0
P.094_N.06_094/06/02_b1,SELANGOR,ORDINARY VOTE,P.094,HULU SELANGOR,N.06,KUALA KUBU BAHARU,094/06/02,PERTAK,PUSAT PEMBANGUNAN PENDIDIKAN & NUTRISI KANAK-KANAK KAMPUNG PERTAK,1,153,DAP,PANG SOCK TAO,FEMALE,31,97,PPBM,KHAIRUL AZHARI SAUT,MALE,54,50,PRM,HAFIZAH,FEMALE,50,0,INDEPENDENT,ERIS NYAU KE XIN,FEMALE,29,2,149,4,0
P.094_N.06_094/06/02_c1,SELANGOR,ORDINARY VOTE,P.094,HULU SELANGOR,N.06,KUALA KUBU BAHARU,094/06/02,PERTAK,TADIKA KEMAS KG. GERACHI JAYA,1,177,DAP,PANG SOCK TAO,FEMALE,31,136,PPBM,KHAIRUL AZHARI SAUT,MALE,54,33,PRM,HAFIZAH,FEMALE,50,2,INDEPENDENT,ERIS NYAU KE XIN,FEMALE,29,2,173,4,0
