UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.047_N.20_047/20/UNDI POS_1,PULAU PINANG,POSTAL VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/UNDI POS,UNDI POS,UNDI POS,1,128,PKR,CIKGU JOOHARI,MALE,60,63,PAS,ABANG ABIDIN,MALE,56,56,119,5,4
P.047_N.20_047/20/00_1,PULAU PINANG,EARLY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/00,UNDI AWAL,DEWAN SERBAGUNA IPD SPS,1,n/a,PKR,CIKGU JOOHARI,MALE,60,n/a,PAS,ABANG ABIDIN,MALE,56,n/a,n/a,n/a,n/a
P.047_N.20_047/20/01_1,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/01,PADANG LALANG,SEKOLAH MENENGAH KEBANGSAAN TASEK,1,,PKR,CIKGU JOOHARI,MALE,60,,PAS,ABANG ABIDIN,MALE,56,,,,
P.047_N.20_047/20/01_2,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/01,PADANG LALANG,SEKOLAH MENENGAH KEBANGSAAN TASEK,2,,PKR,CIKGU JOOHARI,MALE,60,,PAS,ABANG ABIDIN,MALE,56,,,,
P.047_N.20_047/20/01_3,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/01,PADANG LALANG,SEKOLAH MENENGAH KEBANGSAAN TASEK,3,,PKR,CIKGU JOOHARI,MALE,60,,PAS,ABANG ABIDIN,MALE,56,,,,
P.047_N.20_047/20/01_4,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/01,PADANG LALANG,SEKOLAH MENENGAH KEBANGSAAN TASEK,4,,PKR,CIKGU JOOHARI,MALE,60,,PAS,ABANG ABIDIN,MALE,56,,,,
P.047_N.20_047/20/01_5,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/01,PADANG LALANG,SEKOLAH MENENGAH KEBANGSAAN TASEK,5,,PKR,CIKGU JOOHARI,MALE,60,,PAS,ABANG ABIDIN,MALE,56,,,,
P.047_N.20_047/20/01_6,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/01,PADANG LALANG,SEKOLAH MENENGAH KEBANGSAAN TASEK,6,,PKR,CIKGU JOOHARI,MALE,60,,PAS,ABANG ABIDIN,MALE,56,,,,
P.047_N.20_047/20/02_a1,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH JENIS KEBANGSAAN (CINA) BOON BENG,1,278,PKR,CIKGU JOOHARI,MALE,60,170,PAS,ABANG ABIDIN,MALE,56,100,270,8,0
P.047_N.20_047/20/02_a2,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH JENIS KEBANGSAAN (CINA) BOON BENG,2,350,PKR,CIKGU JOOHARI,MALE,60,198,PAS,ABANG ABIDIN,MALE,56,145,343,7,0
P.047_N.20_047/20/02_a3,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH JENIS KEBANGSAAN (CINA) BOON BENG,3,534,PKR,CIKGU JOOHARI,MALE,60,270,PAS,ABANG ABIDIN,MALE,56,258,528,6,0
P.047_N.20_047/20/02_a4,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH JENIS KEBANGSAAN (CINA) BOON BENG,4,511,PKR,CIKGU JOOHARI,MALE,60,227,PAS,ABANG ABIDIN,MALE,56,283,510,1,0
P.047_N.20_047/20/02_a5,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH JENIS KEBANGSAAN (CINA) BOON BENG,5,498,PKR,CIKGU JOOHARI,MALE,60,227,PAS,ABANG ABIDIN,MALE,56,265,492,6,0
P.047_N.20_047/20/02_a6,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH JENIS KEBANGSAAN (CINA) BOON BENG,6,417,PKR,CIKGU JOOHARI,MALE,60,186,PAS,ABANG ABIDIN,MALE,56,227,413,4,0
P.047_N.20_047/20/02_a7,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH JENIS KEBANGSAAN (CINA) BOON BENG,7,427,PKR,CIKGU JOOHARI,MALE,60,159,PAS,ABANG ABIDIN,MALE,56,266,425,2,0
P.047_N.20_047/20/02_a8,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH JENIS KEBANGSAAN (CINA) BOON BENG,8,435,PKR,CIKGU JOOHARI,MALE,60,180,PAS,ABANG ABIDIN,MALE,56,254,434,1,0
P.047_N.20_047/20/02_a9,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH JENIS KEBANGSAAN (CINA) BOON BENG,9,450,PKR,CIKGU JOOHARI,MALE,60,148,PAS,ABANG ABIDIN,MALE,56,301,449,1,0
P.047_N.20_047/20/02_b1,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASEK MUTIARA,1,,PKR,CIKGU JOOHARI,MALE,60,,PAS,ABANG ABIDIN,MALE,56,,,,
P.047_N.20_047/20/02_b2,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASEK MUTIARA,2,,PKR,CIKGU JOOHARI,MALE,60,,PAS,ABANG ABIDIN,MALE,56,,,,
P.047_N.20_047/20/02_b3,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASEK MUTIARA,3,291,PKR,CIKGU JOOHARI,MALE,60,187,PAS,ABANG ABIDIN,MALE,56,101,288,3,0
P.047_N.20_047/20/02_b4,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASEK MUTIARA,4,472,PKR,CIKGU JOOHARI,MALE,60,273,PAS,ABANG ABIDIN,MALE,56,196,469,3,0
P.047_N.20_047/20/02_b5,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASEK MUTIARA,5,,PKR,CIKGU JOOHARI,MALE,60,,PAS,ABANG ABIDIN,MALE,56,,,,
P.047_N.20_047/20/02_b6,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASEK MUTIARA,6,,PKR,CIKGU JOOHARI,MALE,60,,PAS,ABANG ABIDIN,MALE,56,,,,
P.047_N.20_047/20/02_b7,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASEK MUTIARA,7,333,PKR,CIKGU JOOHARI,MALE,60,225,PAS,ABANG ABIDIN,MALE,56,106,331,2,0
P.047_N.20_047/20/02_b8,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASEK MUTIARA,8,283,PKR,CIKGU JOOHARI,MALE,60,175,PAS,ABANG ABIDIN,MALE,56,104,279,4,0
P.047_N.20_047/20/02_b9,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASEK MUTIARA,9,,PKR,CIKGU JOOHARI,MALE,60,,PAS,ABANG ABIDIN,MALE,56,,,,
P.047_N.20_047/20/02_b10,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASEK MUTIARA,10,350,PKR,CIKGU JOOHARI,MALE,60,177,PAS,ABANG ABIDIN,MALE,56,173,350,0,0
P.047_N.20_047/20/02_b11,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASEK MUTIARA,11,,PKR,CIKGU JOOHARI,MALE,60,,PAS,ABANG ABIDIN,MALE,56,,,,
P.047_N.20_047/20/02_b12,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASEK MUTIARA,12,322,PKR,CIKGU JOOHARI,MALE,60,146,PAS,ABANG ABIDIN,MALE,56,174,320,2,0
P.047_N.20_047/20/02_b13,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASEK MUTIARA,13,,PKR,CIKGU JOOHARI,MALE,60,,PAS,ABANG ABIDIN,MALE,56,,,,
P.047_N.20_047/20/03_1,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/03,TASEK JUNJONG,SEKOLAH KEBANGSAAN SERI TASEK,1,307,PKR,CIKGU JOOHARI,MALE,60,134,PAS,ABANG ABIDIN,MALE,56,172,306,1,0
P.047_N.20_047/20/03_2,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/03,TASEK JUNJONG,SEKOLAH KEBANGSAAN SERI TASEK,2,307,PKR,CIKGU JOOHARI,MALE,60,140,PAS,ABANG ABIDIN,MALE,56,162,302,5,0
P.047_N.20_047/20/03_3,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/03,TASEK JUNJONG,SEKOLAH KEBANGSAAN SERI TASEK,3,369,PKR,CIKGU JOOHARI,MALE,60,154,PAS,ABANG ABIDIN,MALE,56,212,366,3,0
P.047_N.20_047/20/03_4,PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/03,TASEK JUNJONG,SEKOLAH KEBANGSAAN SERI TASEK,4,346,PKR,CIKGU JOOHARI,MALE,60,134,PAS,ABANG ABIDIN,MALE,56,211,345,1,0
