STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,TOTAL BALLOTS ISSUED,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
PULAU PINANG,POSTAL VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/UNDI POS,UNDI POS,128,PKR,CIKGU JOOHARI,MALE,60,63,PAS,ABANG ABIDIN,MALE,56,56,119,5,4
PULAU PINANG,EARLY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/00,UNDI AWAL,n/a,PKR,CIKGU JOOHARI,MALE,60,n/a,PAS,ABANG ABIDIN,MALE,56,n/a,n/a,n/a,n/a
PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/01,PADANG LALANG,,PKR,CIKGU JOOHARI,MALE,60,879,PAS,ABANG ABIDIN,MALE,56,1720,2599,,
PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/02,PUTERI GUNONG,,PKR,CIKGU JOOHARI,MALE,60,4321,PAS,ABANG ABIDIN,MALE,56,3952,8273,,
PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/03,TASEK JUNJONG,1678,PKR,CIKGU JOOHARI,MALE,60,652,PAS,ABANG ABIDIN,MALE,56,1013,1665,13,0
PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/04,SUNGAI DURI,,PKR,CIKGU JOOHARI,MALE,60,1045,PAS,ABANG ABIDIN,MALE,56,3101,4146,,
PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/05,SUNGAI BAKAP,4451,PKR,CIKGU JOOHARI,MALE,60,2124,PAS,ABANG ABIDIN,MALE,56,2269,4393,58,0
PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/06,LADANG SEMPAH,,PKR,CIKGU JOOHARI,MALE,60,244,PAS,ABANG ABIDIN,MALE,56,546,790,,
PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/07,SUNGAI KECHIL,,PKR,CIKGU JOOHARI,MALE,60,652,PAS,ABANG ABIDIN,MALE,56,940,1592,,
PULAU PINANG,ORDINARY VOTE,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,047/20/08,KAMPUNG BESAR,1151,PKR,CIKGU JOOHARI,MALE,60,242,PAS,ABANG ABIDIN,MALE,56,901,1143,8,0
