STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,TOTAL ELECTORS (2025),MALAY (%),CHINESE (%),INDIAN (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),ORANG ASLI (%),OTHERS (%),ELECTORS - ORDINARY VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18 - 20 (%),21 - 29 (%),30 - 39 (%),40 - 49 (%),50 - 59 (%),60 - 69 (%),70 - 79 (%),80 - 89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN-RURAL CLASSIFICATION (2025),OKU VOTERS (2025)
PERAK,P.072,TAPAH,N.48,AYER KUNING,072/48/01,TEMOH STESYEN,765,88.10,9.67,1.31,0.00,0.00,0.00,0.92,100.00,0.00,0.00,0.00,3.66,13.46,17.78,21.70,14.90,13.99,10.85,3.14,0.52,49.80,50.20,RURAL,33
PERAK,P.072,TAPAH,N.48,AYER KUNING,072/48/02,SUNGAI LESONG,1996,81.51,9.82,7.16,0.20,0.20,0.40,0.70,100.00,0.00,0.00,0.00,3.41,18.14,22.75,16.63,16.73,13.83,5.91,2.35,0.25,48.60,51.40,SEMI URBAN,54
PERAK,P.072,TAPAH,N.48,AYER KUNING,072/48/03,KAMPONG SUNGAI KURONG,1036,74.32,9.65,4.54,0.10,0.29,10.14,0.97,100.00,0.00,0.00,0.00,4.15,18.05,20.75,15.25,17.86,11.29,8.59,3.38,0.68,49.23,50.77,RURAL,26
PERAK,P.072,TAPAH,N.48,AYER KUNING,072/48/04,SUNGAI KEROH,1468,41.49,44.96,0.95,0.14,0.14,11.65,0.68,100.00,0.00,0.00,0.00,2.25,16.83,23.16,19.75,14.92,12.47,7.43,3.00,0.20,52.66,47.34,RURAL,30
PERAK,P.072,TAPAH,N.48,AYER KUNING,072/48/05,KAMPONG BATU MESJID,904,95.35,1.88,1.88,0.00,0.00,0.00,0.88,100.00,0.00,0.00,0.00,3.87,19.80,20.58,20.69,12.06,11.73,8.08,2.99,0.22,50.44,49.56,RURAL,35
PERAK,P.072,TAPAH,N.48,AYER KUNING,072/48/06,KAMPONG BATU TIGA,2110,74.98,6.59,15.26,0.19,0.09,1.23,1.66,100.00,0.00,0.00,0.00,4.12,18.72,24.22,19.67,10.90,11.66,7.44,2.18,1.09,49.05,50.95,RURAL,32
PERAK,P.072,TAPAH,N.48,AYER KUNING,072/48/07,BANIR,304,86.84,6.58,4.61,0.00,0.00,0.00,1.97,100.00,0.00,0.00,0.00,2.96,29.61,25.00,12.17,13.16,9.54,5.26,1.97,0.33,52.30,47.70,RURAL,10
PERAK,P.072,TAPAH,N.48,AYER KUNING,072/48/08,BANIR UTARA,493,17.65,43.81,37.53,0.00,0.00,0.81,0.20,100.00,0.00,0.00,0.00,2.43,15.21,16.02,19.07,16.02,14.60,8.52,6.90,1.22,53.75,46.25,RURAL,15
PERAK,P.072,TAPAH,N.48,AYER KUNING,072/48/09,AYER KUNING,2321,43.64,38.13,17.28,0.04,0.09,0.17,0.65,100.00,0.00,0.00,0.00,3.75,14.05,20.77,23.22,15.60,11.89,8.23,1.98,0.52,50.58,49.42,RURAL,51
PERAK,P.072,TAPAH,N.48,AYER KUNING,072/48/10,AYER KUNING SELATAN,1083,7.66,78.12,13.39,0.18,0.00,0.00,0.65,98.98,0.00,1.02,0.00,1.75,11.45,16.07,15.24,13.67,15.51,15.60,9.33,1.39,52.63,47.37,SEMI URBAN,12
PERAK,P.072,TAPAH,N.48,AYER KUNING,072/48/11,TANJONG KERAMAT,1202,98.75,0.25,0.50,0.08,0.17,0.08,0.17,100.00,0.00,0.00,0.00,4.16,18.89,23.63,16.81,14.56,13.06,5.82,2.08,1.00,47.67,52.33,RURAL,30
