UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.072_N.48_UNDI POS_1,PERAK,POSTAL VOTE,P.072,TAPAH,N.48,AYER KUNING,UNDI POS,UNDI POS,UNDI POS,1,116,UMNO,YUSRI BAKIR,MALE,54,77,PAS,ABDUL MUHAIMIN MALEK,MALE,44,28,PSM,BAWANI KS,FEMALE,40,3,108,5,3
P.072_N.48_072/48/00_a1,PERAK,EARLY VOTE,P.072,TAPAH,N.48,AYER KUNING,072/48/00,UNDI AWAL,"DEWAN ANGGERIK, KOMPLEKS PERUMAHAN IPD TAPAH (BILIK B)",1,23,UMNO,YUSRI BAKIR,MALE,54,19,PAS,ABDUL MUHAIMIN MALEK,MALE,44,4,PSM,BAWANI KS,FEMALE,40,0,23,0,0
P.072_N.48_072/48/00_b1,PERAK,EARLY VOTE,P.072,TAPAH,N.48,AYER KUNING,072/48/00,UNDI AWAL,"DEWAN REKREASI APR TRANSIT, BATALION 3 PGA BIDOR",1,219,UMNO,YUSRI BAKIR,MALE,54,183,PAS,ABDUL MUHAIMIN MALEK,MALE,44,32,PSM,BAWANI KS,FEMALE,40,3,218,1,0
P.072_N.48_072/48/00_b2,PERAK,EARLY VOTE,P.072,TAPAH,N.48,AYER KUNING,072/48/00,UNDI AWAL,"DEWAN REKREASI APR TRANSIT, BATALION 3 PGA BIDOR",2,225,UMNO,YUSRI BAKIR,MALE,54,187,PAS,ABDUL MUHAIMIN MALEK,MALE,44,27,PSM,BAWANI KS,FEMALE,40,2,216,9,0
P.072_N.48_072/48/01_1,PERAK,NORMAL VOTE,P.072,TAPAH,N.48,AYER KUNING,072/48/01,TEMOH STESYEN,SEKOLAH KEBANGSAAN TEMOH,1,204,UMNO,YUSRI BAKIR,MALE,54,128,PAS,ABDUL MUHAIMIN MALEK,MALE,44,70,PSM,BAWANI KS,FEMALE,40,2,200,4,0
P.072_N.48_072/48/01_2,PERAK,NORMAL VOTE,P.072,TAPAH,N.48,AYER KUNING,072/48/01,TEMOH STESYEN,SEKOLAH KEBANGSAAN TEMOH,2,316,UMNO,YUSRI BAKIR,MALE,54,167,PAS,ABDUL MUHAIMIN MALEK,MALE,44,144,PSM,BAWANI KS,FEMALE,40,0,311,5,0
P.072_N.48_072/48/02_1,PERAK,NORMAL VOTE,P.072,TAPAH,N.48,AYER KUNING,072/48/02,SUNGAI LESONG,SEKOLAH KEBANGSAAN SUNGAI LESONG,1,322,UMNO,YUSRI BAKIR,MALE,54,217,PAS,ABDUL MUHAIMIN MALEK,MALE,44,93,PSM,BAWANI KS,FEMALE,40,8,318,4,0
P.072_N.48_072/48/02_2,PERAK,NORMAL VOTE,P.072,TAPAH,N.48,AYER KUNING,072/48/02,SUNGAI LESONG,SEKOLAH KEBANGSAAN SUNGAI LESONG,2,340,UMNO,YUSRI BAKIR,MALE,54,198,PAS,ABDUL MUHAIMIN MALEK,MALE,44,131,PSM,BAWANI KS,FEMALE,40,8,337,3,0
P.072_N.48_072/48/02_3,PERAK,NORMAL VOTE,P.072,TAPAH,N.48,AYER KUNING,072/48/02,SUNGAI LESONG,SEKOLAH KEBANGSAAN SUNGAI LESONG,3,284,UMNO,YUSRI BAKIR,MALE,54,149,PAS,ABDUL MUHAIMIN MALEK,MALE,44,130,PSM,BAWANI KS,FEMALE,40,5,284,0,0
P.072_N.48_072/48/02_4,PERAK,NORMAL VOTE,P.072,TAPAH,N.48,AYER KUNING,072/48/02,SUNGAI LESONG,SEKOLAH KEBANGSAAN SUNGAI LESONG,4,332,UMNO,YUSRI BAKIR,MALE,54,190,PAS,ABDUL MUHAIMIN MALEK,MALE,44,134,PSM,BAWANI KS,FEMALE,40,3,327,5,0
P.072_N.48_072/48/03_5,PERAK,NORMAL VOTE,P.072,TAPAH,N.48,AYER KUNING,072/48/03,KAMPONG SUNGAI KURONG,SEKOLAH KEBANGSAAN SUNGAI LESONG,5,314,UMNO,YUSRI BAKIR,MALE,54,204,PAS,ABDUL MUHAIMIN MALEK,MALE,44,92,PSM,BAWANI KS,FEMALE,40,15,311,3,0
